text,actual,predicted,latency_sec,ram_gb,vram_gb,prompt_tokens,completion_tokens
buahnya bagus... kurirnya ok sellernya juga ok,Happy,Happy,2.9694573879241943,10.562549591064453,0.0,2007,7
"Ada sedikit cacat, selainnya oke",Happy,Sadness,4.75822377204895,10.537006378173828,0.0,2003,8
Jadi semangat mancing.,Happy,Happy,2.828120708465576,10.557479858398438,0.0,1999,7
Cepat tiba n kemasan bagus. barangnya juga bagus,Happy,Happy,2.8166308403015137,10.55649185180664,0.0,2007,7
Produk sesuai deskripsi??. Variasi produk beragam. Berfungsi dengan baik.,Happy,Happy,3.6238820552825928,10.549583435058594,0.0,2011,7
pelayanan memuaskan dan barang sesuai ??,Happy,Happy,4.851155996322632,10.617080688476562,0.0,2004,7
"Barang bagus dan cepat sekali sampainya ke cianjur, hanya 2 hari.Best seller",Happy,Love,3.9355692863464355,10.522449493408203,0.0,2015,7
Bagus mantab jernih,Happy,Happy,4.695404767990112,10.540218353271484,0.0,2002,7
"trmksh barang sesuai pesanan, fungsi normal... tingkatkan terus pelayanan...",Happy,Happy,3.857050895690918,10.541908264160156,0.0,2010,7
"Green screen sudah nyampe, bahan cukup tebal, mirip ntah sama dengan Positiveie bag yg bagus, warna hijau cerah, oke lah buat green screen",Happy,Happy,3.227766275405884,10.513408660888672,0.0,2027,7
"lumayan lah, buat pemanasan",Happy,Happy,4.166317462921143,10.575084686279297,0.0,2003,7
"paking rapih, kondisi barang datang mantap. kualitas sesuai harga.. joss",Happy,Happy,4.137505769729614,10.560401916503906,0.0,2013,7
"produk asli original. suplemen bagus tanpa efek samping, semoga segera berproses utk menambah pigmen rambut. tks",Happy,Happy,3.2959108352661133,10.586498260498047,0.0,2019,7
barang bagus dan layanan bagus,Happy,Happy,2.089935541152954,10.584293365478516,0.0,2000,7
"untuk harga sgitu bolehlah, dan penjual juga menjelaskan cara pakai dengan jelas dan teliti",Happy,Happy,9.209273099899292,10.546092987060547,0.0,2015,7
"Cepet nyampe, seller oke",Happy,Happy,2.617487907409668,10.546516418457031,0.0,2002,7
barang sdh nyampe dgn baik. senang banget terima paketnya. semoga sapunya awet. terima kasih. bersih bersih rumah. bersih rapi. bebas debu.,Happy,Happy,4.551605224609375,10.578601837158203,0.0,2029,7
"Kainnya gk tipis, standar tebal batik biasa, adem , lembut, variant yg dikirim penjual , sesuai.",Happy,Happy,2.855792760848999,10.518535614013672,0.0,2021,7
