text,actual,predicted,latency_sec,ram_gb,vram_gb,prompt_tokens,completion_tokens
buahnya bagus... kurirnya ok sellernya juga ok,Happy,Happy,1.2222480773925781,8.321914672851562,0.0,41,1
"Ada sedikit cacat, selainnya oke",Happy,Happy,0.3952474594116211,8.328411102294922,0.0,36,1
Jadi semangat mancing.,Happy,Happy,0.3966090679168701,8.335132598876953,0.0,33,1
Cepat tiba n kemasan bagus. barangnya juga bagus,Happy,Happy,0.8996591567993164,8.328685760498047,0.0,40,1
Produk sesuai deskripsi??. Variasi produk beragam. Berfungsi dengan baik.,Happy,Happy,0.4995753765106201,8.30581283569336,0.0,44,1
pelayanan memuaskan dan barang sesuai ??,Happy,Happy,0.5101423263549805,8.305004119873047,0.0,35,1
"Barang bagus dan cepat sekali sampainya ke cianjur, hanya 2 hari.Best seller",Happy,Happy,0.663560152053833,8.312271118164062,0.0,47,1
Bagus mantab jernih,Happy,Happy,0.8833060264587402,8.22549057006836,0.0,35,1
"trmksh barang sesuai pesanan, fungsi normal... tingkatkan terus pelayanan...",Happy,Happy,0.49025440216064453,8.20236587524414,0.0,43,1
"Green screen sudah nyampe, bahan cukup tebal, mirip ntah sama dengan Positiveie bag yg bagus, warna hijau cerah, oke lah buat green screen",Happy,Happy,0.590062141418457,8.204635620117188,0.0,62,1
"lumayan lah, buat pemanasan",Happy,Happy,0.45368289947509766,8.1693115234375,0.0,35,1
"paking rapih, kondisi barang datang mantap. kualitas sesuai harga.. joss",Happy,Happy,0.4336726665496826,8.125370025634766,0.0,45,1
"produk asli original. suplemen bagus tanpa efek samping, semoga segera berproses utk menambah pigmen rambut. tks",Happy,Happy,0.4910564422607422,8.081615447998047,0.0,56,1
barang bagus dan layanan bagus,Happy,Happy,0.5079107284545898,8.022163391113281,0.0,33,1
"untuk harga sgitu bolehlah, dan penjual juga menjelaskan cara pakai dengan jelas dan teliti",Happy,Happy,0.41123461723327637,8.025043487548828,0.0,49,1
"Cepet nyampe, seller oke",Happy,Happy,0.41794276237487793,8.014225006103516,0.0,35,1
barang sdh nyampe dgn baik. senang banget terima paketnya. semoga sapunya awet. terima kasih. bersih bersih rumah. bersih rapi. bebas debu.,Happy,Happy,0.40172386169433594,7.996608734130859,0.0,70,1
"Kainnya gk tipis, standar tebal batik biasa, adem , lembut, variant yg dikirim penjual , sesuai.",Happy,Happy,0.8784220218658447,8.003482818603516,0.0,56,1
"Barusan saya tes untuk ambil sampah di sungai dekat rumah, untuk kekuatan daya cekram si alatnya masuk akal untuk harga segini. untuk ambil plastik mudah, tapi untuk ambil sampah kain atau sampah yg udah kekubur agak sulit karena kurang kuat cekramannya",Happy,Happy,0.397019624710083,7.9981689453125,0.0,90,1
"alhamdulillah, produk ini sangat membantu. yang biasanya membersihkan wc pakai sikat, berisik, kerak tertinggal pada sikat, kelihatan kotor. sekarang tergantikan dengan cooger sikat toilet ini. bahan karetnya membantu saya membersihkan wc disegala waktu, tidak lagi membangunkan anak saya yang masih bayi karena berisik bunyi sikat saat membersihkan toilet / ember mandi. bahkan bisa membersihkan disela-sela bagian dalam dudukan wc (yang tidak bisa dijangkau sikat toilet konvensional). sedikit tips untuk menempelkan ke dinding keramik kamar mandi. setelah dibersihkan dengan lap kering/tisu kering, bisa ditambahkan hair dryer/korek api dibagian yang akan ditempel perekatnya. cara menempelkannya seperti memasang pelindung kaca layar hp. dikeluarkan bagian udara didalamnya dengan cara menempelkan bagian atas/bagian bawah (tergantung mana duluan). gosok2 pakai jari/kuku udara didalamnya sampai tidak ada udara didalam perekatnya.. cooger emang sesuai sama slogannya. rekomended jelas.",Happy,Love,0.42514944076538086,8.00747299194336,0.0,265,1
"sesuai dengan pesanan, bahan halus, kayaknya adem...",Happy,Happy,0.39647912979125977,8.011878967285156,0.0,40,1
"sudah terima packingnya rapi, bahannya lembut, enak dipake, kurir yg selalu ramah, mkshPotongannya rapi.",Happy,Happy,0.41692614555358887,8.01953125,0.0,60,1
Barang Sesuai Deskripsi. Produk Original. Packaging Bagus.,Happy,Happy,1.0133857727050781,8.023426055908203,0.0,41,1
"mantap, bagus dan teba",Happy,Love,0.508976936340332,8.024505615234375,0.0,35,1
Sesuai deskripsi dan pesanan. Terimakasih,Happy,Happy,0.42061305046081543,8.024585723876953,0.0,41,1
"Produk Sesuai. Material Produk Bagus. Cocok untuk di jadikan tmpt penyimpanan masker.. Jadi lbh rapi dan enak di lihat, gampang untuk mengambil masker..",Happy,Happy,0.5269591808319092,7.9985809326171875,0.0,66,1
"wae keren. alatnya berasa jadi pengrajin rokok. matap seler ramah pros�s cepat , pengiriman juga cepat.",Happy,Happy,0.5178492069244385,7.990669250488281,0.0,56,1
