text,actual,predicted,latency_sec,ram_gb,vram_gb
buahnya bagus... kurirnya ok sellernya juga ok,Happy,Happy,20.708752632141113,13.005058288574219,3.4337806701660156
"Ada sedikit cacat, selainnya oke",Happy,Sadness,4.641603231430054,13.054698944091797,3.4337806701660156
Jadi semangat mancing.,Happy,Happy,4.361485481262207,12.959732055664062,3.4337806701660156
Cepat tiba n kemasan bagus. barangnya juga bagus,Happy,Happy,4.425097942352295,13.03302001953125,3.4337806701660156
Produk sesuai deskripsi??. Variasi produk beragam. Berfungsi dengan baik.,Happy,Happy,4.454389572143555,13.082099914550781,3.4337806701660156
pelayanan memuaskan dan barang sesuai ??,Happy,Happy,4.323667049407959,13.060516357421875,3.4337806701660156
"Barang bagus dan cepat sekali sampainya ke cianjur, hanya 2 hari.Best seller",Happy,Happy,4.450427293777466,12.966854095458984,3.4337806701660156
Bagus mantab jernih,Happy,Happy,4.460390090942383,13.257095336914062,3.4337806701660156
"trmksh barang sesuai pesanan, fungsi normal... tingkatkan terus pelayanan...",Happy,Happy,4.519509792327881,13.409492492675781,3.4337806701660156
"Green screen sudah nyampe, bahan cukup tebal, mirip ntah sama dengan Positiveie bag yg bagus, warna hijau cerah, oke lah buat green screen",Happy,Happy,4.763376712799072,13.322898864746094,3.4337806701660156
"lumayan lah, buat pemanasan",Happy,Happy,4.582208871841431,13.721588134765625,3.4337806701660156
"paking rapih, kondisi barang datang mantap. kualitas sesuai harga.. joss",Happy,Happy,5.028187036514282,13.709415435791016,3.4337806701660156
"produk asli original. suplemen bagus tanpa efek samping, semoga segera berproses utk menambah pigmen rambut. tks",Happy,Happy,4.818998575210571,13.677597045898438,3.4337806701660156
barang bagus dan layanan bagus,Happy,Happy,4.360307455062866,13.683708190917969,3.4337806701660156
"untuk harga sgitu bolehlah, dan penjual juga menjelaskan cara pakai dengan jelas dan teliti",Happy,Happy,4.531852722167969,13.674644470214844,3.4337806701660156
"Cepet nyampe, seller oke",Happy,Happy,4.394322633743286,13.638141632080078,3.4337806701660156
barang sdh nyampe dgn baik. senang banget terima paketnya. semoga sapunya awet. terima kasih. bersih bersih rumah. bersih rapi. bebas debu.,Happy,Happy,4.926839351654053,13.53110122680664,3.4337806701660156
"Kainnya gk tipis, standar tebal batik biasa, adem , lembut, variant yg dikirim penjual , sesuai.",Happy,Happy,4.72391152381897,13.526283264160156,3.4337806701660156
"Barusan saya tes untuk ambil sampah di sungai dekat rumah, untuk kekuatan daya cekram si alatnya masuk akal untuk harga segini. untuk ambil plastik mudah, tapi untuk ambil sampah kain atau sampah yg udah kekubur agak sulit karena kurang kuat cekramannya",Happy,Sadness,5.548635482788086,13.104732513427734,3.4337806701660156
"alhamdulillah, produk ini sangat membantu. yang biasanya membersihkan wc pakai sikat, berisik, kerak tertinggal pada sikat, kelihatan kotor. sekarang tergantikan dengan cooger sikat toilet ini. bahan karetnya membantu saya membersihkan wc disegala waktu, tidak lagi membangunkan anak saya yang masih bayi karena berisik bunyi sikat saat membersihkan toilet / ember mandi. bahkan bisa membersihkan disela-sela bagian dalam dudukan wc (yang tidak bisa dijangkau sikat toilet konvensional). sedikit tips untuk menempelkan ke dinding keramik kamar mandi. setelah dibersihkan dengan lap kering/tisu kering, bisa ditambahkan hair dryer/korek api dibagian yang akan ditempel perekatnya. cara menempelkannya seperti memasang pelindung kaca layar hp. dikeluarkan bagian udara didalamnya dengan cara menempelkan bagian atas/bagian bawah (tergantung mana duluan). gosok2 pakai jari/kuku udara didalamnya sampai tidak ada udara didalam perekatnya.. cooger emang sesuai sama slogannya. rekomended jelas.",Happy,Happy,8.084841251373291,13.14657211303711,3.4337806701660156
"sesuai dengan pesanan, bahan halus, kayaknya adem...",Happy,Happy,4.316619634628296,13.061290740966797,3.4337806701660156
"sudah terima packingnya rapi, bahannya lembut, enak dipake, kurir yg selalu ramah, mkshPotongannya rapi.",Happy,Happy,4.75946307182312,13.060855865478516,3.4337806701660156
Barang Sesuai Deskripsi. Produk Original. Packaging Bagus.,Happy,Happy,4.424580097198486,13.09991455078125,3.4337806701660156
"mantap, bagus dan teba",Happy,Happy,4.371114015579224,13.115158081054688,3.4337806701660156
Sesuai deskripsi dan pesanan. Terimakasih,Happy,Happy,4.4007041454315186,13.10165786743164,3.4337806701660156
"Produk Sesuai. Material Produk Bagus. Cocok untuk di jadikan tmpt penyimpanan masker.. Jadi lbh rapi dan enak di lihat, gampang untuk mengambil masker..",Happy,Happy,4.973346710205078,12.93410873413086,3.4337806701660156
"wae keren. alatnya berasa jadi pengrajin rokok. matap seler ramah pros�s cepat , pengiriman juga cepat.",Happy,Happy,4.824121475219727,12.969524383544922,3.4337806701660156
Bagus dan ini order saya yang kedua.,Happy,Happy,4.563290119171143,13.259658813476562,3.4337806701660156
Teksturnya creamy. Gampang dipakai. Packaging aman ??.,Happy,Happy,4.427461862564087,13.246219635009766,3.4337806701660156
"masker bagus,sesuai harga`",Happy,Happy,4.357324600219727,13.2135009765625,3.4337806701660156
bagus banget bahan nya juga adem ini bakal jadi langganan saya order baju tidur untuk suami ????,Happy,Happy,4.901225328445435,13.29241943359375,3.4337806701660156
respon baik mutu lumayan hrg terjangkau,Happy,Happy,4.342635154724121,13.271759033203125,3.4337806701660156
Kualitas Produk Bagus. Produk Sesuai,Happy,Happy,4.262070178985596,13.22249984741211,3.4337806701660156
"Bahan bagus, kain bisa melebar dan elastis",Happy,Happy,4.470512628555298,13.20037841796875,3.4337806701660156
"Cepat, rapih dan aman. Saya mau beli lagi nanti ya",Happy,Happy,4.517240047454834,13.266590118408203,3.4337806701660156
Cepat dan packing amanah bgt.kualitas susu sdh terjamin enak dan bermanfaat.thanks.,Happy,Happy,4.487767934799194,13.230911254882812,3.4337806701660156
barang telah sampai dengan packaging yg bagus,Happy,Happy,4.373607397079468,13.159709930419922,3.4337806701660156
ukurannya ada yg besar ada yg kecil tapi lumayan dengan harga segitu makasih ya??,Happy,Happy,4.493112564086914,13.104690551757812,3.4337806701660156
"bagus, bisa nempel di kayu",Happy,Happy,4.374660491943359,13.110958099365234,3.4337806701660156
"alhamdulillah barang sampai di tgl 6/11. Isi dusnya : instruction manual book, kartu garansi, stiker boya, tas kecil boya, seperangkat mic, batereinya & jack adaptor (kayaknya untuk koneksi ke amplifier).",Happy,Happy,5.065106153488159,13.077354431152344,3.4337806701660156
Jahitannya rapi. Warnanya cantik ??. Bahannya lembut. Ukuran sesuai. Nyaman dipakai ?. Modelnya cantik ??. Bahannya adem.,Happy,Happy,4.752398490905762,13.07122802734375,3.4337806701660156
