text,actual,predicted,latency_sec,ram_gb,vram_gb,prompt_tokens,completion_tokens
buahnya bagus... kurirnya ok sellernya juga ok,Happy,Happy,2.4098384380340576,11.526260375976562,0.0,1450,16
"Ada sedikit cacat, selainnya oke",Happy,Fear,1.0621988773345947,11.498916625976562,0.0,1445,16
Jadi semangat mancing.,Happy,Happy,1.715437889099121,11.552474975585938,0.0,1443,16
Cepat tiba n kemasan bagus. barangnya juga bagus,Happy,Happy,1.1241939067840576,11.558433532714844,0.0,1449,16
Produk sesuai deskripsi??. Variasi produk beragam. Berfungsi dengan baik.,Happy,Happy,1.1449174880981445,11.549510955810547,0.0,1453,16
pelayanan memuaskan dan barang sesuai ??,Happy,Happy,1.1048858165740967,11.534603118896484,0.0,1446,16
"Barang bagus dan cepat sekali sampainya ke cianjur, hanya 2 hari.Best seller",Happy,Love,1.1305208206176758,11.4879150390625,0.0,1456,16
Bagus mantab jernih,Happy,Happy,0.9461772441864014,11.606735229492188,0.0,1444,16
"trmksh barang sesuai pesanan, fungsi normal... tingkatkan terus pelayanan...",Happy,Happy,1.148735761642456,11.599647521972656,0.0,1452,16
"Green screen sudah nyampe, bahan cukup tebal, mirip ntah sama dengan Positiveie bag yg bagus, warna hijau cerah, oke lah buat green screen",Happy,Happy,0.9266879558563232,11.5887451171875,0.0,1471,16
"lumayan lah, buat pemanasan",Happy,Happy,1.047818660736084,11.54934310913086,0.0,1444,16
"paking rapih, kondisi barang datang mantap. kualitas sesuai harga.. joss",Happy,Happy,0.9898011684417725,11.547748565673828,0.0,1454,16
"produk asli original. suplemen bagus tanpa efek samping, semoga segera berproses utk menambah pigmen rambut. tks",Happy,Happy,0.9284963607788086,11.460285186767578,0.0,1465,16
barang bagus dan layanan bagus,Happy,Happy,1.3694562911987305,11.458568572998047,0.0,1442,16
"untuk harga sgitu bolehlah, dan penjual juga menjelaskan cara pakai dengan jelas dan teliti",Happy,Happy,1.0157580375671387,11.452064514160156,0.0,1459,16
"Cepet nyampe, seller oke",Happy,Happy,1.6389529705047607,11.450965881347656,0.0,1444,16
barang sdh nyampe dgn baik. senang banget terima paketnya. semoga sapunya awet. terima kasih. bersih bersih rumah. bersih rapi. bebas debu.,Happy,Happy,1.0164291858673096,11.447673797607422,0.0,1479,16
"Kainnya gk tipis, standar tebal batik biasa, adem , lembut, variant yg dikirim penjual , sesuai.",Happy,Happy,1.0960545539855957,11.439373016357422,0.0,1465,16
"Barusan saya tes untuk ambil sampah di sungai dekat rumah, untuk kekuatan daya cekram si alatnya masuk akal untuk harga segini. untuk ambil plastik mudah, tapi untuk ambil sampah kain atau sampah yg udah kekubur agak sulit karena kurang kuat cekramannya",Happy,Fear,1.0362703800201416,11.435935974121094,0.0,1499,16
