title,actual,predicted,latency_sec,ram_gb,vram_gb
Gunung Sampah di Cilebut Bogor Bikin Sungai Ciliwung Tercemar,0,0,19.319950819015503,12.517021179199219,3.57440185546875
"Tulis 'Orang-Orang Biasa', Andrea Hirata Perjuangkan Pendidikan untuk Kaum Tak Mampu",0,0,6.86343789100647,12.42242431640625,3.57440185546875
"43 Penerbangan Terganggu Asap, Ratusan Penumpang Tujuan Kalimantan Telantar",0,0,7.0154383182525635,12.435443878173828,3.57440185546875
"Bicara soal Gading Marten, Gisella Anastasia Menahan Tangis",1,0,6.704057216644287,12.45681381225586,3.57440185546875
Pelatih Leicester Tatap Laga Kontra Man United dengan Kepercayaan Diri Tinggi,0,0,6.8876683712005615,12.461811065673828,3.57440185546875
"Terdampak Tol Desari, Jalan Tanah Baru Depok Akan Diperlebar Tahun Ini",0,0,7.236309289932251,12.45376968383789,3.57440185546875
Polemik PB Djarum vs KPAI yang Berujung Stop Audisi...,1,0,6.632116794586182,12.443912506103516,3.57440185546875
Laode Ungkap Banyak Karyawan KPK Menangis Pasca Revisi UU Disahkan,0,0,6.546979188919067,12.431045532226562,3.57440185546875
"Permintaan Terakhir Bocah yang Dibully Hingga Tewas, Fatir Ahmad Sebut Nama Seseorang Agar Ditangkap",1,0,7.020298480987549,12.414653778076172,3.57440185546875
"Habibie Wafat, R80 Diusulkan Jadi Proyek Strategis Nasional",0,0,6.671257734298706,12.414772033691406,3.57440185546875
Walhi Minta Restorasi Gambut Dievaluasi,0,0,6.066054344177246,12.417770385742188,3.57440185546875
"Soal Perburuan Scudetto, Llorente: Tekanan Ada pada Juventus",0,0,6.318891286849976,12.4151611328125,3.57440185546875
"Ada Petisi Ganti Nama BIJB dengan BJ Habibie, Ridwan Kamil Beri Dukungan",0,0,7.059562683105469,12.413082122802734,3.57440185546875
"Anggaran Bansos Naik, Warga tak Hanya Dapat Beras dan Telur",0,0,6.496511459350586,12.407363891601562,3.57440185546875
Inggris Mengaku Tak Tahu Dalang Serangan Kilang Minyak Saudi,0,0,6.354219436645508,12.41357421875,3.57440185546875
Ingin Jadi Digital Marketing Sukses? Pastikan Punya Sifat ini,1,0,6.528829336166382,12.39376449584961,3.57440185546875
"Jelang Pernikahan, Hailey Baldwin Dapat Pesta Bachelorette yang Seru dan Nakal!",1,1,6.552182197570801,12.370567321777344,3.57440185546875
"Barbie Kumalasari Bocorkan Honor Sekali Tampil di TV, Tembus Dua Digit!",1,1,6.563968896865845,12.354499816894531,3.57440185546875
"Tak Malu jadi Sugar Baby, Jeane Ajak Sesama Wanita untuk Ikuti Caranya Cari Uang, Mau?",1,1,6.7058265209198,12.364505767822266,3.57440185546875
"Ramal Banyak Artis Narkoba Hingga Cerai Tahun Ini, Roy Kiyoshi: Orangnya Gak Disangka-Sangka",1,1,6.855408668518066,12.35622787475586,3.57440185546875
"Selotip Mulut, Jurnalis KBB-Cimahi Tolak Kekerasan dan RKUHP",0,0,6.840887069702148,12.371047973632812,3.57440185546875
"Penentu Kemenangan Man United, Mason Greenwood Dipuji Solskajer",0,0,6.711474895477295,12.463939666748047,3.57440185546875
"Tumbuh 10 Cm, 'Tanduk Setan' di Kepala Pria India Dioperasi",1,0,7.047973871231079,12.476070404052734,3.57440185546875
"Foto Jihyo TWICE Sering Datangi Rumah Kang Daniel, Sudah 7 Bulan Pacaran?",1,1,6.56099534034729,12.459918975830078,3.57440185546875
"Akibat Kabut Asap, Citilink Gagal Mendarat di Aek Godang",0,0,6.835444211959839,12.428901672363281,3.57440185546875
"Si Bodat ini Serahkan Perawan Pacar Buat Teman, Setelah Itu Digilir",1,1,6.4859137535095215,12.437854766845703,3.57440185546875
"40 Persen Dewan Ciamis Gadaikan SK, Ketua: Daripada Mencuri Uang Negara",0,0,7.044872045516968,12.43527603149414,3.57440185546875
KPU Ajukan Rp 17 M untuk Pilwakot Solo 2020,0,0,6.458254337310791,12.393356323242188,3.57440185546875
"Sinopsis Drama STILL 17 Episode 25, Titik Cerah Pencarian Shin Hye Sun",0,0,6.743323087692261,12.393295288085938,3.57440185546875
"Hindari Konsumsi Madu pada Bayi, Ini Alasannya",1,0,6.701432228088379,12.548919677734375,3.57440185546875
"Tampil Cantik saat Kondangan, Ini 4 Inspirasi Dress untuk Hijabers",1,0,7.092932939529419,12.721504211425781,3.57440185546875
"Data Pelanggan Lion Air Bocor, Menkominfo Sebut Bukti Urgensi RUU PDP",0,0,7.061078786849976,12.959774017333984,3.57440185546875
