Customer Review,Emotion
"Yang dikirim beda barang, lebih murah, selisihnya 16703, tapi rusak, mau dikembalikan, tapi gamenya sudah dibuka, jadi saya minta selisihnya dikembalikan dengan menyuruh saya isi pulsa saja 15 ribu.Setelah 6 hari pulsa tidak masuk, saya tanya, jawabannya oke, sayang sekali, tidak dapat diandalkan.",Anger
"barang tidak lengkap, sudah coba kirim video unboxing tapi ga bisa2 masuk.sudah minta nomer WA dan email, agar bisa kirim videonya tapi tidak direspon.dan sudah balas email ke tokopedia juga, tapi tidak di balas. percuma barang nya juga tidak bisa di pakai karena tidak lengkap(padahal di gambar tertera free)",Fear
"respon cepat, barang aman, buahnya segar dan bagus, pengiriman cepat",Happy
packing rapi dan memuaskan,Love
"belom 1 bulan udah gak nyala, baterai udah diganti tetap saja gak nyala. kecewa, udah 2x di kerjain logitech",Sadness
sepatu yg di kirim tidak bertimbal layak yg saya order warnajenis serta ukuran berbedakomplain ribetpadahal order titipan,Anger
"kiri, pembelian ke-2, saya beli 150pcs, kanan, pembelian pertama, warna dan kualitas berbeda, pembelian ke-2, bahan tipis, warna tidak secerah pembelian pertama",Fear
"wanginya segar, nyaman untuk bayi saya ketika sedang mengandung, kemasannya rapi, penjualnya ramah, terima kasih, terus berkarya",Love
"pesan 50 yg datang 47, karung sbagian banyak yg bolong ga bisa buat beras lagi.",Sadness
Suaranya jernih. Nyaman dipakai lama. Bass-nya mantap.,Happy
tokonya terbaik sii ini mah... udh 4x order disini setiap anak ultah selalu pesen printilannya disini.. skg anak ke 2 ultah pun belinya disini. mantap,Love
"Pesan warna hitam, dikirim warna putih, lama sekali proses ordernya",Fear
bahannya oke joss,Love
"terbaik sihhh iniii.. pesanan ny superr cpt sampe nya.. d proses ny cpt bgtttt.. br psen hr itu, bsk ny ud sampe lagi ?? pengemasan amann bgt juga ya.. ???? thx seller & kurir ????",Love
Bahannya ga enak,Sadness
Topinya bagus bahan nya,Happy
BAHAN CELANANYA SANGAT AMAT TIPIS DAN MENERAWANG GAK SESUAI GAMBAR. DI GAMBAR KAYAK KATUN TEBAL GITU TAPI ASLINYA YG DIKIRIM TIPIS DAN GAK BANGET YA. MAAF.,Anger
"Packing rapi, barang lumayan...",Happy
barangnya tidak berfungsi dengan baik,Anger
"wangi tapi bukan wangi peppermint, tidak sesuai pesanan, apalagi sdh beli 2 botol",Anger
"Alhamdulillah setelah 20 jam lebih total downloadnya, akhirnya bisa terbang juga. Agan seller sgt responsive terutama adminnya, guidance nya very clear. Semoga PMDG boeing 73X bisa segera release ya...",Happy
Edny layak dijual 1k dalam waktu kurang dari sebulan,Anger
Barang berfungsi norma. Kecuali kabel USB nya rusak. Jadi saya pake kabel USB HP. komplen ke toko hanya minta maaf tidak menawarkan untuk diganti. Tolong cek dulu sebelum dikirim. Tks,Sadness
Barang pecah..,Sadness
"bahannya enak lembut, ada gel di dalamnya, talinya bisa diatur dan gk mengganggu pas tidur, packing rapih, pengiriman cepat, langsung proses ketika jam kerja, respon seller juga cepat dan ramah.",Happy
Baru seminggu pemakaian sudah tidak bisa nyala sebelah,Sadness
"kaos kaki sangat tipis, saat sudah transaksi respon penjual sangat lambat proses pengiriman",Anger
Tulisannya kayak kopian atau cetakan ulang,Fear
Kualitas bahan bagus.,Happy
"Kelengketan barangnya sangat lemah, tidak seperti 3M aslinya",Anger
"Gamenya aman untuk online dan offline, anak saya suka banget mainnya, makasih seller",Love
karungnya super sedikit tidak sesuai di gambar,Anger
"Saya tidak menerima barangnya sama sekali padahal Gojek instan, Entah itu salah Gojek atau memang pihak toko yang jelas.Saya sudah komplain tapi sistemnya diubah.Ujung-ujungnya dana tersebut ditransfer ke penjual asing tersebut.Setelah dibantu oleh Tokopedia Care, akhirnya diketahui salah kirim ke rumah orang lain dan masih dalam proses pengecekan.",Anger
"Packing ok, seller lekas kirim, berguna buat organize koper biar gak acak acakan, semoga awet, thank you seller",Happy
Barang tidak dikirimkan ??,Anger
Saya membeli barang ini tetapi pompa listrik ini tidak dapat diisi dayanya sehingga tidak dapat digunakan.Penjual tidak ada respon dan tidak bisa membantu.Saya sangat kecewa.Tidak direkomendasikan.,Anger
"Herbal lengkap dengan harga oke, sudah langganan. Ini foto kalo sudah saya masak jadi tim ayam obat",Happy
sangat amazing cool A F barang cepat sampee luar biasa,Happy
Saya pesen ini yg dateng cuma sukiyaki dan konbutsuyu padahal di deskripsi tertulis 3 jenis.. Kecewa bgt..,Sadness
