text,actual,predicted,latency_sec,ram_gb,vram_gb,prompt_tokens,completion_tokens
buahnya bagus... kurirnya ok sellernya juga ok,Happy,Happy,2.354560613632202,10.77703857421875,0.0,512,16
"Ada sedikit cacat, selainnya oke",Happy,Sadness,1.6525700092315674,10.779430389404297,0.0,507,17
Jadi semangat mancing.,Happy,Happy,1.0852041244506836,10.780712127685547,0.0,505,16
Cepat tiba n kemasan bagus. barangnya juga bagus,Happy,Happy,1.2878293991088867,10.783702850341797,0.0,511,16
Produk sesuai deskripsi??. Variasi produk beragam. Berfungsi dengan baik.,Happy,Happy,1.0508370399475098,10.77408218383789,0.0,515,16
pelayanan memuaskan dan barang sesuai ??,Happy,Happy,0.9945566654205322,10.769760131835938,0.0,508,16
"Barang bagus dan cepat sekali sampainya ke cianjur, hanya 2 hari.Best seller",Happy,Happy,1.0601773262023926,10.734272003173828,0.0,518,16
Bagus mantab jernih,Happy,Happy,0.888087272644043,10.725505828857422,0.0,506,16
"trmksh barang sesuai pesanan, fungsi normal... tingkatkan terus pelayanan...",Happy,Happy,1.065638780593872,10.735519409179688,0.0,514,16
"Green screen sudah nyampe, bahan cukup tebal, mirip ntah sama dengan Positiveie bag yg bagus, warna hijau cerah, oke lah buat green screen",Happy,Happy,1.0606989860534668,10.764659881591797,0.0,533,16
"lumayan lah, buat pemanasan",Happy,Happy,1.048379898071289,10.76108169555664,0.0,506,16
"paking rapih, kondisi barang datang mantap. kualitas sesuai harga.. joss",Happy,Happy,1.0922014713287354,10.78207015991211,0.0,516,16
"produk asli original. suplemen bagus tanpa efek samping, semoga segera berproses utk menambah pigmen rambut. tks",Happy,Happy,1.2692875862121582,10.777641296386719,0.0,527,16
barang bagus dan layanan bagus,Happy,Happy,1.7068407535552979,10.79061508178711,0.0,504,16
"untuk harga sgitu bolehlah, dan penjual juga menjelaskan cara pakai dengan jelas dan teliti",Happy,Happy,1.0566096305847168,10.75278091430664,0.0,521,16
"Cepet nyampe, seller oke",Happy,Happy,0.8968343734741211,10.745147705078125,0.0,506,16
barang sdh nyampe dgn baik. senang banget terima paketnya. semoga sapunya awet. terima kasih. bersih bersih rumah. bersih rapi. bebas debu.,Happy,Happy,1.1819007396697998,10.73892593383789,0.0,541,16
