title,label_score,prediksi,probabilitas
gunung sampah di cilebut bogor bikin sungai ciliwung tercemar,0,Bukan Clickbait,0.12870292
tulis orang orang biasa andrea hirata perjuangkan pendidikan untuk kaum tak mampu,0,Clickbait,0.65611804
43 penerbangan terganggu asap ratusan penumpang tujuan kalimantan telantar,0,Bukan Clickbait,0.0093268845
bicara soal gading marten gisella anastasia menahan tangis,1,Clickbait,0.7817574
pelatih leicester tatap laga kontra man united dengan kepercayaan diri tinggi,0,Bukan Clickbait,0.010426856
terdampak tol desari jalan tanah baru depok akan diperlebar tahun ini,0,Bukan Clickbait,0.008515429
polemik pb djarum vs kpai yang berujung stop audisi,1,Bukan Clickbait,0.43764153
laode ungkap banyak karyawan kpk menangis pasca revisi uu disahkan,0,Bukan Clickbait,0.08056931
permintaan terakhir bocah yang dibully hingga tewas fatir ahmad sebut nama seseorang agar ditangkap,1,Clickbait,0.891623
habibie wafat r80 diusulkan jadi proyek strategis nasional,0,Bukan Clickbait,0.008937882
walhi minta restorasi gambut dievaluasi,0,Bukan Clickbait,0.007337914
soal perburuan scudetto llorente tekanan ada pada juventus,0,Bukan Clickbait,0.30770126
ada petisi ganti nama bijb dengan bj habibie ridwan kamil beri dukungan,0,Bukan Clickbait,0.019919068
anggaran bansos naik warga tak hanya dapat beras dan telur,0,Bukan Clickbait,0.009740983
inggris mengaku tak tahu dalang serangan kilang minyak saudi,0,Bukan Clickbait,0.012720186
ingin jadi digital marketing sukses pastikan punya sifat ini,1,Clickbait,0.9944397
jelang pernikahan hailey baldwin dapat pesta bachelorette yang seru dan nakal,1,Clickbait,0.9471671
barbie kumalasari bocorkan honor sekali tampil di tv tembus dua digit,1,Clickbait,0.9684992
tak malu jadi sugar baby jeane ajak sesama wanita untuk ikuti caranya cari uang mau,1,Clickbait,0.99209845
ramal banyak artis narkoba hingga cerai tahun ini roy kiyoshi orangnya gak disangka sangka,1,Clickbait,0.98877037
selotip mulut jurnalis kbb cimahi tolak kekerasan dan rkuhp,0,Bukan Clickbait,0.07206402
penentu kemenangan man united mason greenwood dipuji solskajer,0,Bukan Clickbait,0.03284254
tumbuh 10 cm tanduk setan di kepala pria india dioperasi,1,Bukan Clickbait,0.26737574
foto jihyo twice sering datangi rumah kang daniel sudah 7 bulan pacaran,1,Clickbait,0.99144477
akibat kabut asap citilink gagal mendarat di aek godang,0,Bukan Clickbait,0.01035821
si bodat ini serahkan perawan pacar buat teman setelah itu digilir,1,Clickbait,0.99332726
40 persen dewan ciamis gadaikan sk ketua daripada mencuri uang negara,0,Bukan Clickbait,0.014084271
kpu ajukan rp 17 m untuk pilwakot solo 2020,0,Bukan Clickbait,0.0068361624
sinopsis drama still 17 episode 25 titik cerah pencarian shin hye sun,0,Bukan Clickbait,0.0095083285
hindari konsumsi madu pada bayi ini alasannya,1,Clickbait,0.9950228
tampil cantik saat kondangan ini 4 inspirasi dress untuk hijabers,1,Clickbait,0.99515104
data pelanggan lion air bocor menkominfo sebut bukti urgensi ruu pdp,0,Bukan Clickbait,0.00944469
bwa targetkan 1 juta wakaf alquran,0,Bukan Clickbait,0.0068386686
densus 88 polri gerebek rumah terduga teroris di cilincing jakut,0,Bukan Clickbait,0.008242613
ojk hentikan sementara pendaftaran investasi reksa dana tunggal,0,Bukan Clickbait,0.007196026
3 fakta raymond hartanto adik boy william yang meninggal dunia,1,Clickbait,0.9938227
emil akan lelang jabatan sekda buka peluang non asn,0,Bukan Clickbait,0.0076306905
tips bagi yang berniat memelihara vw kodok,1,Clickbait,0.9932688
bi dorong indonesia jadi pemain utama di industri halal dunia,0,Bukan Clickbait,0.008237585
revisi buku pendidikan bpip akan diskusi dengan sejarawan,0,Bukan Clickbait,0.008043845
dompet dhuafa kirim tim jaga kebersihan rumah alm habibie,0,Bukan Clickbait,0.006971806
bayi meninggal diduga terkena ispa gubernur sumsel sarankan autopsi,0,Bukan Clickbait,0.012918307
per senin polisi tetapkan 189 tersangka karhutla di sumatera dan kalimantan,0,Bukan Clickbait,0.0075654355
bts kejutkan fans dengan bikin akun tiktok intip dua video postingannya,1,Clickbait,0.99368745
pembayaran klaim asuransi meningkat 8 21 persen,0,Bukan Clickbait,0.007927876
sempat dicap artis sensasi bella shofie akui cinta tugas barunya kerja pakai hati,1,Clickbait,0.9579
titik api kembali muncul di hutan lereng gunung slamet,0,Bukan Clickbait,0.014338573
menteri lhk minta malaysia objektif soal kabut asap,0,Bukan Clickbait,0.009204385
unggah video ahmad dhani bersama anak mulan jameela kangen,1,Clickbait,0.98837876
ketika teroris serang kilang minyak saudi aramco pakai drone,1,Bukan Clickbait,0.048704404
revisi uu kpk mahfud md saatnya jokowi undang pimpinan kpk,0,Bukan Clickbait,0.008604378
wwf samakan kebakaran hutan di indonesia dengan amazon,0,Bukan Clickbait,0.0077817794
kasus kepemilikan senjata api kivlan zen jalani sidang hari ini,0,Bukan Clickbait,0.010222704
apple umumkan ipad anyar 10 2 inci harganya,1,Bukan Clickbait,0.48803142
video viral pengobatan bude ningsih tinampi sudah ditonton 10 juta kali,1,Clickbait,0.98775244
lepas kepergian habibie warga padati tmp kalibata,0,Bukan Clickbait,0.012923216
miley cyrus diduga sindir mantan gara gara posting foto bareng anjing,1,Clickbait,0.99030113
kebakaran hutan bnpb hitung kerugian ekosistem hingga ekonomi,0,Bukan Clickbait,0.0074444287
menelisik mudahnya dapatkan racikan miras oplosan di tasik,0,Clickbait,0.981875
gubernur kalbar penyumbang kabut asap terbesar dari lahan konsesi perusahaan,0,Bukan Clickbait,0.009301792
anaknya menjadi korban rasisme ibu striker chelsea menangis,1,Clickbait,0.77334774
pkb pesimistis koalisi gemuk bisa dibentuk untuk lawan pks di pilkada depok,0,Bukan Clickbait,0.009454943
bpjs kesehatan raih penghargaan revolusi mental awards 2019,0,Bukan Clickbait,0.0071064946
komisioner kpk mengapa pembahasan revisi uu kpk dikebut,1,Clickbait,0.952563
pusdiklat ma gandeng lspr bangun profesi humas terpercaya,0,Bukan Clickbait,0.0074792746
seksinya red velvet kompak pakai mini dress hingga busana monokrom,1,Clickbait,0.99096453
peringkat timnas futsal indonesia melejit,0,Bukan Clickbait,0.019763237
grup keuangan korsel guyur rp350 55 miliar ke indonesia,0,Bukan Clickbait,0.00951344
bus tabrak pemotor hingga meninggal di sragen,0,Bukan Clickbait,0.012253475
ihsg diprediksi 6 650 hingga akhir tahun,0,Bukan Clickbait,0.0089058
ratusan mahasiswa surabaya dukung revisi uu kpk,0,Bukan Clickbait,0.010326783
fakta unik member nct dream ada si perusak dan tukang tidur,1,Clickbait,0.9930074
ilmuwan mendeteksi suara lubang hitam sejalan teori einstein,0,Clickbait,0.66913486
digital inklusif lewat startup bisa atasi permasalahan ketimpangan ekonomi di jabar,0,Bukan Clickbait,0.023060925
penyakit ispa akibat kabut asap serang 16 000 warga kota jambi,0,Bukan Clickbait,0.012385022
furry setya ternyata sempat ditolak saat tembak dwinda ratna ini ucapan yang diterima mas pur,1,Clickbait,0.9945161
inikah sosok nissan x trail masa depan lebih kencang dari tesla,1,Clickbait,0.9945116
bocah tewas diduga dibuly sang ibu ungkap keinginan terakhir anaknya belum sempat dimainkan,1,Clickbait,0.92861116
prosinecki batalkan mundur dari timnas bosnia,0,Bukan Clickbait,0.021641936
