text,actual,predicted,latency_sec,ram_gb,vram_gb
buahnya bagus... kurirnya ok sellernya juga ok,Happy,Happy,37.33722519874573,13.436016082763672,3.55291748046875
"Ada sedikit cacat, selainnya oke",Happy,Sadness,6.652488470077515,13.491214752197266,3.55291748046875
Jadi semangat mancing.,Happy,Happy,6.197953462600708,13.506309509277344,3.55291748046875
Cepat tiba n kemasan bagus. barangnya juga bagus,Happy,Happy,6.502282381057739,13.544036865234375,3.55291748046875
Produk sesuai deskripsi??. Variasi produk beragam. Berfungsi dengan baik.,Happy,Happy,6.265590667724609,13.57427978515625,3.55291748046875
pelayanan memuaskan dan barang sesuai ??,Happy,Happy,6.179400205612183,13.52346420288086,3.55291748046875
"Barang bagus dan cepat sekali sampainya ke cianjur, hanya 2 hari.Best seller",Happy,Happy,6.524335622787476,13.482017517089844,3.55291748046875
Bagus mantab jernih,Happy,Happy,6.205018758773804,13.464008331298828,3.55291748046875
"trmksh barang sesuai pesanan, fungsi normal... tingkatkan terus pelayanan...",Happy,Happy,6.35695743560791,13.486358642578125,3.55291748046875
"Green screen sudah nyampe, bahan cukup tebal, mirip ntah sama dengan Positiveie bag yg bagus, warna hijau cerah, oke lah buat green screen",Happy,Love,6.927881956100464,13.502601623535156,3.55291748046875
"lumayan lah, buat pemanasan",Happy,Happy,6.165569305419922,13.492301940917969,3.55291748046875
"paking rapih, kondisi barang datang mantap. kualitas sesuai harga.. joss",Happy,Happy,6.249750852584839,13.461772918701172,3.55291748046875
"produk asli original. suplemen bagus tanpa efek samping, semoga segera berproses utk menambah pigmen rambut. tks",Happy,Happy,6.51517653465271,13.53414535522461,3.55291748046875
barang bagus dan layanan bagus,Happy,Happy,6.182454586029053,13.545352935791016,3.55291748046875
"untuk harga sgitu bolehlah, dan penjual juga menjelaskan cara pakai dengan jelas dan teliti",Happy,Happy,6.464198112487793,13.571094512939453,3.55291748046875
"Cepet nyampe, seller oke",Happy,Happy,6.162587881088257,13.546344757080078,3.55291748046875
barang sdh nyampe dgn baik. senang banget terima paketnya. semoga sapunya awet. terima kasih. bersih bersih rumah. bersih rapi. bebas debu.,Happy,Happy,6.8895533084869385,13.524398803710938,3.55291748046875
"Kainnya gk tipis, standar tebal batik biasa, adem , lembut, variant yg dikirim penjual , sesuai.",Happy,Happy,6.328028202056885,13.507965087890625,3.55291748046875
"Barusan saya tes untuk ambil sampah di sungai dekat rumah, untuk kekuatan daya cekram si alatnya masuk akal untuk harga segini. untuk ambil plastik mudah, tapi untuk ambil sampah kain atau sampah yg udah kekubur agak sulit karena kurang kuat cekramannya",Happy,Sadness,7.347704172134399,13.516075134277344,3.55291748046875
"alhamdulillah, produk ini sangat membantu. yang biasanya membersihkan wc pakai sikat, berisik, kerak tertinggal pada sikat, kelihatan kotor. sekarang tergantikan dengan cooger sikat toilet ini. bahan karetnya membantu saya membersihkan wc disegala waktu, tidak lagi membangunkan anak saya yang masih bayi karena berisik bunyi sikat saat membersihkan toilet / ember mandi. bahkan bisa membersihkan disela-sela bagian dalam dudukan wc (yang tidak bisa dijangkau sikat toilet konvensional). sedikit tips untuk menempelkan ke dinding keramik kamar mandi. setelah dibersihkan dengan lap kering/tisu kering, bisa ditambahkan hair dryer/korek api dibagian yang akan ditempel perekatnya. cara menempelkannya seperti memasang pelindung kaca layar hp. dikeluarkan bagian udara didalamnya dengan cara menempelkan bagian atas/bagian bawah (tergantung mana duluan). gosok2 pakai jari/kuku udara didalamnya sampai tidak ada udara didalam perekatnya.. cooger emang sesuai sama slogannya. rekomended jelas.",Happy,Love,10.66744089126587,13.524517059326172,3.55291748046875
"sesuai dengan pesanan, bahan halus, kayaknya adem...",Happy,Happy,6.236751317977905,13.510551452636719,3.55291748046875
"sudah terima packingnya rapi, bahannya lembut, enak dipake, kurir yg selalu ramah, mkshPotongannya rapi.",Happy,Happy,6.861566543579102,13.481781005859375,3.55291748046875
Barang Sesuai Deskripsi. Produk Original. Packaging Bagus.,Happy,Happy,6.217448711395264,13.477100372314453,3.55291748046875
