text,actual,predicted,latency_sec,ram_gb,vram_gb,prompt_tokens,completion_tokens
buahnya bagus... kurirnya ok sellernya juga ok,Happy,Happy,2.071578025817871,10.011539459228516,0.0,513,7
"Ada sedikit cacat, selainnya oke",Happy,Sadness,1.5478813648223877,10.145767211914062,0.0,508,8
Jadi semangat mancing.,Happy,Happy,1.4921355247497559,10.320899963378906,0.0,506,7
Cepat tiba n kemasan bagus. barangnya juga bagus,Happy,Happy,1.0657646656036377,10.282135009765625,0.0,512,7
Produk sesuai deskripsi??. Variasi produk beragam. Berfungsi dengan baik.,Happy,Happy,0.8442299365997314,10.326168060302734,0.0,516,7
pelayanan memuaskan dan barang sesuai ??,Happy,Happy,3.3878724575042725,10.322368621826172,0.0,509,7
"Barang bagus dan cepat sekali sampainya ke cianjur, hanya 2 hari.Best seller",Happy,Happy,0.8485538959503174,9.67342758178711,0.0,519,7
Bagus mantab jernih,Happy,Happy,1.4470326900482178,10.26715087890625,0.0,507,7
"trmksh barang sesuai pesanan, fungsi normal... tingkatkan terus pelayanan...",Happy,Happy,1.4718091487884521,10.37200927734375,0.0,515,7
"Green screen sudah nyampe, bahan cukup tebal, mirip ntah sama dengan Positiveie bag yg bagus, warna hijau cerah, oke lah buat green screen",Happy,Happy,1.0365626811981201,10.404388427734375,0.0,534,7
"lumayan lah, buat pemanasan",Happy,Happy,0.9183082580566406,10.438358306884766,0.0,507,7
"paking rapih, kondisi barang datang mantap. kualitas sesuai harga.. joss",Happy,Happy,0.8967366218566895,9.947620391845703,0.0,517,7
"produk asli original. suplemen bagus tanpa efek samping, semoga segera berproses utk menambah pigmen rambut. tks",Happy,Happy,1.1759569644927979,9.334365844726562,0.0,528,7
barang bagus dan layanan bagus,Happy,Happy,0.9827907085418701,9.5069580078125,0.0,505,7
"untuk harga sgitu bolehlah, dan penjual juga menjelaskan cara pakai dengan jelas dan teliti",Happy,Happy,0.8665375709533691,9.641300201416016,0.0,522,7
"Cepet nyampe, seller oke",Happy,Happy,0.94040846824646,9.832427978515625,0.0,507,7
barang sdh nyampe dgn baik. senang banget terima paketnya. semoga sapunya awet. terima kasih. bersih bersih rumah. bersih rapi. bebas debu.,Happy,Happy,1.9031498432159424,9.887725830078125,0.0,542,7
"Kainnya gk tipis, standar tebal batik biasa, adem , lembut, variant yg dikirim penjual , sesuai.",Happy,Happy,1.0447778701782227,9.853702545166016,0.0,528,7
"Barusan saya tes untuk ambil sampah di sungai dekat rumah, untuk kekuatan daya cekram si alatnya masuk akal untuk harga segini. untuk ambil plastik mudah, tapi untuk ambil sampah kain atau sampah yg udah kekubur agak sulit karena kurang kuat cekramannya",Happy,Sadness,0.8296663761138916,9.570510864257812,0.0,562,8
