text,actual,predicted,latency_sec,ram_gb,vram_gb,prompt_tokens,completion_tokens
buahnya bagus... kurirnya ok sellernya juga ok,Happy,Happy,2.6774353981018066,12.178367614746094,0.0,507,7
"Ada sedikit cacat, selainnya oke",Happy,Sadness,3.568476438522339,12.14809799194336,0.0,503,8
Jadi semangat mancing.,Happy,Happy,2.285651445388794,12.089550018310547,0.0,499,7
Cepat tiba n kemasan bagus. barangnya juga bagus,Happy,Happy,3.089742422103882,12.071521759033203,0.0,507,7
Produk sesuai deskripsi??. Variasi produk beragam. Berfungsi dengan baik.,Happy,Happy,4.5731141567230225,12.056884765625,0.0,511,7
pelayanan memuaskan dan barang sesuai ??,Happy,Happy,5.8151936531066895,12.046112060546875,0.0,504,7
"Barang bagus dan cepat sekali sampainya ke cianjur, hanya 2 hari.Best seller",Happy,Happy,2.8173375129699707,12.147499084472656,0.0,515,7
Bagus mantab jernih,Happy,Happy,2.3158695697784424,12.208267211914062,0.0,502,7
"trmksh barang sesuai pesanan, fungsi normal... tingkatkan terus pelayanan...",Happy,Happy,2.725548028945923,12.200428009033203,0.0,510,7
"Green screen sudah nyampe, bahan cukup tebal, mirip ntah sama dengan Positiveie bag yg bagus, warna hijau cerah, oke lah buat green screen",Happy,Happy,2.850081205368042,12.18963623046875,0.0,527,7
"lumayan lah, buat pemanasan",Happy,Happy,3.2170369625091553,12.183944702148438,0.0,503,7
"paking rapih, kondisi barang datang mantap. kualitas sesuai harga.. joss",Happy,Happy,2.730617046356201,12.179821014404297,0.0,513,7
"produk asli original. suplemen bagus tanpa efek samping, semoga segera berproses utk menambah pigmen rambut. tks",Happy,Happy,2.8001253604888916,12.218013763427734,0.0,519,7
barang bagus dan layanan bagus,Happy,Happy,2.4137074947357178,12.226219177246094,0.0,500,7
"untuk harga sgitu bolehlah, dan penjual juga menjelaskan cara pakai dengan jelas dan teliti",Happy,Happy,2.7857582569122314,12.201759338378906,0.0,515,7
"Cepet nyampe, seller oke",Happy,Happy,2.3504228591918945,12.188114166259766,0.0,502,7
barang sdh nyampe dgn baik. senang banget terima paketnya. semoga sapunya awet. terima kasih. bersih bersih rumah. bersih rapi. bebas debu.,Happy,Happy,3.4399948120117188,12.156837463378906,0.0,529,7
"Kainnya gk tipis, standar tebal batik biasa, adem , lembut, variant yg dikirim penjual , sesuai.",Happy,Happy,2.5251801013946533,12.122161865234375,0.0,521,7
"Barusan saya tes untuk ambil sampah di sungai dekat rumah, untuk kekuatan daya cekram si alatnya masuk akal untuk harga segini. untuk ambil plastik mudah, tapi untuk ambil sampah kain atau sampah yg udah kekubur agak sulit karena kurang kuat cekramannya",Happy,Sadness,4.9186851978302,12.065704345703125,0.0,548,8
