title,label_score,prediksi,probabilitas
gunung sampah di cilebut bogor bikin sungai ciliwung tercemar,0,Bukan Clickbait,0.0048787384
tulis orang orang biasa andrea hirata perjuangkan pendidikan untuk kaum tak mampu,0,Clickbait,0.91019446
43 penerbangan terganggu asap ratusan penumpang tujuan kalimantan telantar,0,Bukan Clickbait,0.0014040264
bicara soal gading marten gisella anastasia menahan tangis,1,Clickbait,0.7977034
pelatih leicester tatap laga kontra man united dengan kepercayaan diri tinggi,0,Bukan Clickbait,0.0011377155
terdampak tol desari jalan tanah baru depok akan diperlebar tahun ini,0,Bukan Clickbait,0.0009358472
polemik pb djarum vs kpai yang berujung stop audisi,1,Bukan Clickbait,0.31355014
laode ungkap banyak karyawan kpk menangis pasca revisi uu disahkan,0,Bukan Clickbait,0.115618415
permintaan terakhir bocah yang dibully hingga tewas fatir ahmad sebut nama seseorang agar ditangkap,1,Bukan Clickbait,0.23599616
habibie wafat r80 diusulkan jadi proyek strategis nasional,0,Bukan Clickbait,0.001692109
walhi minta restorasi gambut dievaluasi,0,Bukan Clickbait,0.0011090339
soal perburuan scudetto llorente tekanan ada pada juventus,0,Bukan Clickbait,0.04864465
ada petisi ganti nama bijb dengan bj habibie ridwan kamil beri dukungan,0,Bukan Clickbait,0.002518563
anggaran bansos naik warga tak hanya dapat beras dan telur,0,Bukan Clickbait,0.0010486676
inggris mengaku tak tahu dalang serangan kilang minyak saudi,0,Bukan Clickbait,0.0025491866
ingin jadi digital marketing sukses pastikan punya sifat ini,1,Clickbait,0.99933404
jelang pernikahan hailey baldwin dapat pesta bachelorette yang seru dan nakal,1,Clickbait,0.9941567
barbie kumalasari bocorkan honor sekali tampil di tv tembus dua digit,1,Clickbait,0.99406743
tak malu jadi sugar baby jeane ajak sesama wanita untuk ikuti caranya cari uang mau,1,Clickbait,0.9993593
ramal banyak artis narkoba hingga cerai tahun ini roy kiyoshi orangnya gak disangka sangka,1,Clickbait,0.9932069
selotip mulut jurnalis kbb cimahi tolak kekerasan dan rkuhp,0,Bukan Clickbait,0.0024371499
penentu kemenangan man united mason greenwood dipuji solskajer,0,Bukan Clickbait,0.0033246945
tumbuh 10 cm tanduk setan di kepala pria india dioperasi,1,Bukan Clickbait,0.002523112
foto jihyo twice sering datangi rumah kang daniel sudah 7 bulan pacaran,1,Clickbait,0.999153
akibat kabut asap citilink gagal mendarat di aek godang,0,Bukan Clickbait,0.0014494405
si bodat ini serahkan perawan pacar buat teman setelah itu digilir,1,Clickbait,0.9992993
40 persen dewan ciamis gadaikan sk ketua daripada mencuri uang negara,0,Bukan Clickbait,0.0043252055
