text,actual,predicted,latency_sec,ram_gb,vram_gb
buahnya bagus... kurirnya ok sellernya juga ok,Happy,Happy,39.75757312774658,12.89847183227539,3.43377685546875
"Ada sedikit cacat, selainnya oke",Happy,Happy,4.9380598068237305,12.942489624023438,3.43377685546875
Jadi semangat mancing.,Happy,Happy,18.84518551826477,12.900135040283203,3.43377685546875
Cepat tiba n kemasan bagus. barangnya juga bagus,Happy,Happy,5.588682174682617,12.970306396484375,3.43377685546875
Produk sesuai deskripsi??. Variasi produk beragam. Berfungsi dengan baik.,Happy,Happy,5.082963228225708,12.990215301513672,3.43377685546875
pelayanan memuaskan dan barang sesuai ??,Happy,Happy,5.4987640380859375,12.970661163330078,3.43377685546875
"Barang bagus dan cepat sekali sampainya ke cianjur, hanya 2 hari.Best seller",Happy,Happy,4.984923601150513,12.999401092529297,3.43377685546875
Bagus mantab jernih,Happy,Happy,5.375668525695801,12.927810668945312,3.43377685546875
"trmksh barang sesuai pesanan, fungsi normal... tingkatkan terus pelayanan...",Happy,Happy,5.766253471374512,12.860321044921875,3.43377685546875
"Green screen sudah nyampe, bahan cukup tebal, mirip ntah sama dengan Positiveie bag yg bagus, warna hijau cerah, oke lah buat green screen",Happy,Happy,5.866375923156738,12.787132263183594,3.43377685546875
"lumayan lah, buat pemanasan",Happy,Happy,5.453507900238037,12.76614761352539,3.43377685546875
"paking rapih, kondisi barang datang mantap. kualitas sesuai harga.. joss",Happy,Happy,5.553964376449585,12.72780990600586,3.43377685546875
"produk asli original. suplemen bagus tanpa efek samping, semoga segera berproses utk menambah pigmen rambut. tks",Happy,Love,5.954071044921875,12.724956512451172,3.43377685546875
barang bagus dan layanan bagus,Happy,Happy,5.349636077880859,13.077163696289062,3.43377685546875
"untuk harga sgitu bolehlah, dan penjual juga menjelaskan cara pakai dengan jelas dan teliti",Happy,Love,4.965154647827148,13.003425598144531,3.43377685546875
"Cepet nyampe, seller oke",Happy,Happy,5.119610786437988,13.14303970336914,3.43377685546875
barang sdh nyampe dgn baik. senang banget terima paketnya. semoga sapunya awet. terima kasih. bersih bersih rumah. bersih rapi. bebas debu.,Happy,Happy,5.95140266418457,13.132801055908203,3.43377685546875
"Kainnya gk tipis, standar tebal batik biasa, adem , lembut, variant yg dikirim penjual , sesuai.",Happy,Love,5.211406230926514,13.08382797241211,3.43377685546875
"Barusan saya tes untuk ambil sampah di sungai dekat rumah, untuk kekuatan daya cekram si alatnya masuk akal untuk harga segini. untuk ambil plastik mudah, tapi untuk ambil sampah kain atau sampah yg udah kekubur agak sulit karena kurang kuat cekramannya",Happy,Fear,5.732613801956177,13.197826385498047,3.43377685546875
"alhamdulillah, produk ini sangat membantu. yang biasanya membersihkan wc pakai sikat, berisik, kerak tertinggal pada sikat, kelihatan kotor. sekarang tergantikan dengan cooger sikat toilet ini. bahan karetnya membantu saya membersihkan wc disegala waktu, tidak lagi membangunkan anak saya yang masih bayi karena berisik bunyi sikat saat membersihkan toilet / ember mandi. bahkan bisa membersihkan disela-sela bagian dalam dudukan wc (yang tidak bisa dijangkau sikat toilet konvensional). sedikit tips untuk menempelkan ke dinding keramik kamar mandi. setelah dibersihkan dengan lap kering/tisu kering, bisa ditambahkan hair dryer/korek api dibagian yang akan ditempel perekatnya. cara menempelkannya seperti memasang pelindung kaca layar hp. dikeluarkan bagian udara didalamnya dengan cara menempelkan bagian atas/bagian bawah (tergantung mana duluan). gosok2 pakai jari/kuku udara didalamnya sampai tidak ada udara didalam perekatnya.. cooger emang sesuai sama slogannya. rekomended jelas.",Happy,Love,9.421630144119263,13.215999603271484,3.43377685546875
"sesuai dengan pesanan, bahan halus, kayaknya adem...",Happy,Happy,5.268434286117554,13.235527038574219,3.43377685546875
"sudah terima packingnya rapi, bahannya lembut, enak dipake, kurir yg selalu ramah, mkshPotongannya rapi.",Happy,Love,5.185854434967041,13.229049682617188,3.43377685546875
Barang Sesuai Deskripsi. Produk Original. Packaging Bagus.,Happy,Happy,5.400024652481079,13.228504180908203,3.43377685546875
"mantap, bagus dan teba",Happy,Happy,4.734222650527954,13.184478759765625,3.43377685546875
Sesuai deskripsi dan pesanan. Terimakasih,Happy,Happy,4.745459318161011,13.186882019042969,3.43377685546875
"Produk Sesuai. Material Produk Bagus. Cocok untuk di jadikan tmpt penyimpanan masker.. Jadi lbh rapi dan enak di lihat, gampang untuk mengambil masker..",Happy,Happy,5.982853889465332,13.2095947265625,3.43377685546875
"wae keren. alatnya berasa jadi pengrajin rokok. matap seler ramah pros�s cepat , pengiriman juga cepat.",Happy,Happy,5.826897859573364,13.252220153808594,3.43377685546875
Bagus dan ini order saya yang kedua.,Happy,Love,5.3120481967926025,13.217113494873047,3.43377685546875
Teksturnya creamy. Gampang dipakai. Packaging aman ??.,Happy,Happy,5.377248764038086,13.154083251953125,3.43377685546875
"masker bagus,sesuai harga`",Happy,Happy,5.279216766357422,13.079475402832031,3.43377685546875
bagus banget bahan nya juga adem ini bakal jadi langganan saya order baju tidur untuk suami ????,Happy,Love,5.222938537597656,13.121345520019531,3.43377685546875
respon baik mutu lumayan hrg terjangkau,Happy,Happy,4.7122886180877686,13.078315734863281,3.43377685546875
Kualitas Produk Bagus. Produk Sesuai,Happy,Happy,4.7390360832214355,13.083938598632812,3.43377685546875
"Bahan bagus, kain bisa melebar dan elastis",Happy,Love,5.319828987121582,13.091178894042969,3.43377685546875
"Cepat, rapih dan aman. Saya mau beli lagi nanti ya",Happy,Happy,5.383214950561523,13.02560043334961,3.43377685546875
Cepat dan packing amanah bgt.kualitas susu sdh terjamin enak dan bermanfaat.thanks.,Happy,Love,5.3882787227630615,12.973213195800781,3.43377685546875
barang telah sampai dengan packaging yg bagus,Happy,Happy,4.6517345905303955,12.97519302368164,3.43377685546875
ukurannya ada yg besar ada yg kecil tapi lumayan dengan harga segitu makasih ya??,Happy,Happy,4.8297107219696045,13.006969451904297,3.43377685546875
"bagus, bisa nempel di kayu",Happy,Happy,5.3409388065338135,13.012069702148438,3.43377685546875
"alhamdulillah barang sampai di tgl 6/11. Isi dusnya : instruction manual book, kartu garansi, stiker boya, tas kecil boya, seperangkat mic, batereinya & jack adaptor (kayaknya untuk koneksi ke amplifier).",Happy,Happy,5.49791955947876,12.936885833740234,3.43377685546875
Jahitannya rapi. Warnanya cantik ??. Bahannya lembut. Ukuran sesuai. Nyaman dipakai ?. Modelnya cantik ??. Bahannya adem.,Happy,Love,5.1234259605407715,12.924854278564453,3.43377685546875
Mantap keren. Cuma harus colok listrik kalau mau pakai fitur always-on. Kalau pake batre (AAA 3biji) harus dipencet dulu baru nyala,Happy,Happy,5.411811113357544,13.030876159667969,3.43377685546875
Pertama x custom dan hasil ny sesuai request,Happy,Happy,5.470647811889648,13.061149597167969,3.43377685546875
mantap paten joss,Happy,Happy,5.430120229721069,13.106075286865234,3.43377685546875
packing rapih aman makasih,Happy,Happy,5.553306579589844,13.194568634033203,3.43377685546875
warnanya ga sesuai photo di deskripsi warna sepatu di deskripsi aga' crem yang dateng abu2x gelap,Sadness,Sadness,5.578068017959595,13.168022155761719,3.43377685546875
Ada 1 shade yg salah kirim,Sadness,Fear,5.218517303466797,13.175579071044922,3.43377685546875
barang biasa aja ...bahan kurang bgitu bagus,Sadness,Sadness,5.665578126907349,13.249183654785156,3.43377685546875
Jahitannya berantakan banget. gak kenceng aku benyeng dikit udah pada copot jahitannya...sedih,Sadness,Sadness,6.174005508422852,13.257499694824219,3.43377685546875
"bahan ny sih bagus, cm sayang pesen nya 2 datang ny 1. d chat ke seller ny jg d d baca, boro-boro ada penjelasan. seller g asiiiik g bs d ajak komunikasi",Sadness,Sadness,6.773583173751831,13.281867980957031,3.43377685546875
"Packingnya cm kresek krg aman, jd pas dateng peot pdhl buat d jual, haduhh..",Sadness,Sadness,5.438597202301025,13.04388427734375,3.43377685546875
"Kecewa dengan waktu pengiriman. Order jam 11.52 sengaja pilih sameday biar hari itu juga sampainya karena butuh cepat gendongan ini. Malah dikirim hari berikutnya. Kalau tidak bisa kirim di hari yang sama, tidak perlu diaktifkan pilihan kurir samedaynya. Atau infokan, untuk sameday itu maksimal order jam berapa baru bisa dikirim di hari yang sama.",Sadness,Anger,7.045234680175781,13.026123046875,3.43377685546875
"Dlm ordernya sdh sy tambah 'bubble wrap' (+ rp 10.000), tp dikirimnya tanpa bubble. Lagian ordernya pagi2 n minta spy dikirimnya lbh cepat (instant), ternyata tibanya jam 16an",Sadness,Anger,6.470313549041748,13.045516967773438,3.43377685546875
"bungkusan barang robek, ada bagian kertas yg sudah kuning menandakan barang sudah lama terbuka. sangat mengecewakan",Sadness,Sadness,5.5013651847839355,13.032760620117188,3.43377685546875
balonnya kecil sekali ga sesuai gambar..ga bagus kualitas..ketipu dr gambar nya..kecewa,Sadness,Sadness,5.416314363479614,12.939456939697266,3.43377685546875
Batre tidak sesuai ukuran dan tidak ada nano receiver.,Sadness,Fear,5.436066627502441,12.830310821533203,3.43377685546875
"overpriced.. analisanya kurang dalam. kualitas hard cover kurang bagus, .masa begitu sampe lgsg penyok",Sadness,Anger,5.386947870254517,12.80880355834961,3.43377685546875
boros batre,Sadness,Anger,5.35904860496521,12.813526153564453,3.43377685546875
yg micro ini sering rusak coba di tingkatkn lg kualitasnya,Sadness,Anger,5.087691783905029,12.924995422363281,3.43377685546875
sambungannya tidak rapih..,Sadness,Sadness,5.135766267776489,13.045970916748047,3.43377685546875
"Barang sampai dengan selamat, mic berfungsi tapi emang kualitasnya tidak sampai bisa meredam suara di sekitar",Sadness,Fear,5.927116632461548,13.101119995117188,3.43377685546875
kurang bagus,Sadness,Sadness,4.91668176651001,13.029834747314453,3.43377685546875
model lumayan kren tapi kecewa di batre senternya hnya bertahan skitar 3 jam aja.,Sadness,Sadness,5.015779256820679,12.994701385498047,3.43377685546875
tidak berfugsi,Sadness,Sadness,5.5055859088897705,12.985984802246094,3.43377685546875
Baru seminggu pemakaian sudah tidak bisa nyala sebelah,Sadness,Sadness,5.003493309020996,13.045295715332031,3.43377685546875
"Barang gak berfungsi, kalo mau dikirim cek dulu bos senter gak hidup udah di cas seharian, packing juga tidak bagus jadi bungkusnya ada yg pecah",Sadness,Anger,6.137161493301392,13.006759643554688,3.43377685546875
barang dikrm beda dgn yg pesan,Sadness,Fear,4.694424629211426,13.015369415283203,3.43377685546875
"Beli 3 barang, hanya dikirim 2. Saat komplain dijanjikan barang akan dikirim yg kurangnya. Ternyata dikembalikan uang. Sangat mengecewakan. Sepertinya tidak mau rugi bayar ongkir lagi,jd barang tdk dikirim.",Sadness,Sadness,5.8404834270477295,13.133338928222656,3.43377685546875
"Barang yang sampai cacat, tidak ngisi baterai stick nya",Sadness,Fear,4.9374165534973145,13.166156768798828,3.43377685546875
