title,actual,predicted,latency_sec,ram_gb,vram_gb
Gunung Sampah di Cilebut Bogor Bikin Sungai Ciliwung Tercemar,0,1,18.201263666152954,13.823177337646484,3.96734619140625
"Tulis 'Orang-Orang Biasa', Andrea Hirata Perjuangkan Pendidikan untuk Kaum Tak Mampu",0,0,5.842029333114624,13.858589172363281,3.96734619140625
"43 Penerbangan Terganggu Asap, Ratusan Penumpang Tujuan Kalimantan Telantar",0,1,5.308362245559692,13.864742279052734,3.96734619140625
"Bicara soal Gading Marten, Gisella Anastasia Menahan Tangis",1,1,5.196032285690308,13.8636474609375,3.96734619140625
Pelatih Leicester Tatap Laga Kontra Man United dengan Kepercayaan Diri Tinggi,0,0,5.8974928855896,13.880645751953125,3.96734619140625
"Terdampak Tol Desari, Jalan Tanah Baru Depok Akan Diperlebar Tahun Ini",0,1,5.855121850967407,13.907054901123047,3.96734619140625
Polemik PB Djarum vs KPAI yang Berujung Stop Audisi...,1,1,5.231072425842285,13.908447265625,3.96734619140625
Laode Ungkap Banyak Karyawan KPK Menangis Pasca Revisi UU Disahkan,0,0,5.891713619232178,13.911609649658203,3.96734619140625
"Permintaan Terakhir Bocah yang Dibully Hingga Tewas, Fatir Ahmad Sebut Nama Seseorang Agar Ditangkap",1,1,5.467315435409546,13.907245635986328,3.96734619140625
"Habibie Wafat, R80 Diusulkan Jadi Proyek Strategis Nasional",0,0,5.828250885009766,13.911880493164062,3.96734619140625
Walhi Minta Restorasi Gambut Dievaluasi,0,0,5.722043752670288,13.912715911865234,3.96734619140625
"Soal Perburuan Scudetto, Llorente: Tekanan Ada pada Juventus",0,0,5.8132781982421875,13.870906829833984,3.96734619140625
"Ada Petisi Ganti Nama BIJB dengan BJ Habibie, Ridwan Kamil Beri Dukungan",0,0,5.8371217250823975,13.879013061523438,3.96734619140625
"Anggaran Bansos Naik, Warga tak Hanya Dapat Beras dan Telur",0,1,5.352253675460815,13.890457153320312,3.96734619140625
Inggris Mengaku Tak Tahu Dalang Serangan Kilang Minyak Saudi,0,0,5.668559312820435,13.881843566894531,3.96734619140625
Ingin Jadi Digital Marketing Sukses? Pastikan Punya Sifat ini,1,1,5.322921991348267,13.591766357421875,3.96734619140625
"Jelang Pernikahan, Hailey Baldwin Dapat Pesta Bachelorette yang Seru dan Nakal!",1,1,5.408646821975708,13.458106994628906,3.96734619140625
"Barbie Kumalasari Bocorkan Honor Sekali Tampil di TV, Tembus Dua Digit!",1,1,5.330610752105713,13.475208282470703,3.96734619140625
"Tak Malu jadi Sugar Baby, Jeane Ajak Sesama Wanita untuk Ikuti Caranya Cari Uang, Mau?",1,1,5.2505879402160645,13.481025695800781,3.96734619140625
"Ramal Banyak Artis Narkoba Hingga Cerai Tahun Ini, Roy Kiyoshi: Orangnya Gak Disangka-Sangka",1,1,5.414860010147095,13.481792449951172,3.96734619140625
"Selotip Mulut, Jurnalis KBB-Cimahi Tolak Kekerasan dan RKUHP",0,0,5.77724289894104,13.493453979492188,3.96734619140625
"Penentu Kemenangan Man United, Mason Greenwood Dipuji Solskajer",0,1,5.2010557651519775,13.48910140991211,3.96734619140625
"Tumbuh 10 Cm, 'Tanduk Setan' di Kepala Pria India Dioperasi",1,1,5.288495063781738,13.488006591796875,3.96734619140625
"Foto Jihyo TWICE Sering Datangi Rumah Kang Daniel, Sudah 7 Bulan Pacaran?",1,1,5.2598748207092285,13.487442016601562,3.96734619140625
"Akibat Kabut Asap, Citilink Gagal Mendarat di Aek Godang",0,1,5.291406869888306,13.489112854003906,3.96734619140625
"Si Bodat ini Serahkan Perawan Pacar Buat Teman, Setelah Itu Digilir",1,1,5.343355417251587,13.486274719238281,3.96734619140625
"40 Persen Dewan Ciamis Gadaikan SK, Ketua: Daripada Mencuri Uang Negara",0,0,5.757927417755127,13.487239837646484,3.96734619140625
KPU Ajukan Rp 17 M untuk Pilwakot Solo 2020,0,0,5.762340068817139,13.485187530517578,3.96734619140625
"Sinopsis Drama STILL 17 Episode 25, Titik Cerah Pencarian Shin Hye Sun",0,0,5.772392749786377,13.486015319824219,3.96734619140625
"Hindari Konsumsi Madu pada Bayi, Ini Alasannya",1,0,5.635426044464111,13.484054565429688,3.96734619140625
"Tampil Cantik saat Kondangan, Ini 4 Inspirasi Dress untuk Hijabers",1,0,5.795796155929565,13.48406982421875,3.96734619140625
