text,actual,predicted,latency_sec,ram_gb,vram_gb,prompt_tokens,completion_tokens
buahnya bagus... kurirnya ok sellernya juga ok,Happy,Happy,1.824207067489624,10.803741455078125,0.0,1723,7
"Ada sedikit cacat, selainnya oke",Happy,Sadness,1.4610998630523682,11.053779602050781,0.0,1718,8
Jadi semangat mancing.,Happy,Happy,1.3059594631195068,10.93558120727539,0.0,1716,7
Cepat tiba n kemasan bagus. barangnya juga bagus,Happy,Happy,1.2299525737762451,11.110527038574219,0.0,1722,7
Produk sesuai deskripsi??. Variasi produk beragam. Berfungsi dengan baik.,Happy,Happy,0.7546334266662598,11.15279769897461,0.0,1726,7
pelayanan memuaskan dan barang sesuai ??,Happy,Happy,1.176342248916626,11.095935821533203,0.0,1719,7
"Barang bagus dan cepat sekali sampainya ke cianjur, hanya 2 hari.Best seller",Happy,Happy,1.3762333393096924,11.044624328613281,0.0,1729,7
Bagus mantab jernih,Happy,Happy,0.6923823356628418,11.067264556884766,0.0,1717,7
"trmksh barang sesuai pesanan, fungsi normal... tingkatkan terus pelayanan...",Happy,Happy,1.241100788116455,11.169425964355469,0.0,1725,7
"Green screen sudah nyampe, bahan cukup tebal, mirip ntah sama dengan Positiveie bag yg bagus, warna hijau cerah, oke lah buat green screen",Happy,Happy,0.7272481918334961,11.190025329589844,0.0,1744,7
"lumayan lah, buat pemanasan",Happy,Happy,0.7965900897979736,11.259834289550781,0.0,1717,7
"paking rapih, kondisi barang datang mantap. kualitas sesuai harga.. joss",Happy,Happy,1.2780370712280273,11.289443969726562,0.0,1727,7
"produk asli original. suplemen bagus tanpa efek samping, semoga segera berproses utk menambah pigmen rambut. tks",Happy,Happy,0.7254424095153809,11.290206909179688,0.0,1738,7
barang bagus dan layanan bagus,Happy,Happy,0.7209696769714355,11.319595336914062,0.0,1715,7
"untuk harga sgitu bolehlah, dan penjual juga menjelaskan cara pakai dengan jelas dan teliti",Happy,Happy,1.8357043266296387,11.427558898925781,0.0,1732,7
"Cepet nyampe, seller oke",Happy,Happy,0.6955747604370117,13.720958709716797,0.0,1717,7
barang sdh nyampe dgn baik. senang banget terima paketnya. semoga sapunya awet. terima kasih. bersih bersih rumah. bersih rapi. bebas debu.,Happy,Happy,2.408407688140869,13.660816192626953,0.0,1752,7
"Kainnya gk tipis, standar tebal batik biasa, adem , lembut, variant yg dikirim penjual , sesuai.",Happy,Happy,0.8008222579956055,13.169353485107422,0.0,1738,7
"Barusan saya tes untuk ambil sampah di sungai dekat rumah, untuk kekuatan daya cekram si alatnya masuk akal untuk harga segini. untuk ambil plastik mudah, tapi untuk ambil sampah kain atau sampah yg udah kekubur agak sulit karena kurang kuat cekramannya",Happy,Fear,1.2266592979431152,13.000114440917969,0.0,1772,7
"alhamdulillah, produk ini sangat membantu. yang biasanya membersihkan wc pakai sikat, berisik, kerak tertinggal pada sikat, kelihatan kotor. sekarang tergantikan dengan cooger sikat toilet ini. bahan karetnya membantu saya membersihkan wc disegala waktu, tidak lagi membangunkan anak saya yang masih bayi karena berisik bunyi sikat saat membersihkan toilet / ember mandi. bahkan bisa membersihkan disela-sela bagian dalam dudukan wc (yang tidak bisa dijangkau sikat toilet konvensional). sedikit tips untuk menempelkan ke dinding keramik kamar mandi. setelah dibersihkan dengan lap kering/tisu kering, bisa ditambahkan hair dryer/korek api dibagian yang akan ditempel perekatnya. cara menempelkannya seperti memasang pelindung kaca layar hp. dikeluarkan bagian udara didalamnya dengan cara menempelkan bagian atas/bagian bawah (tergantung mana duluan). gosok2 pakai jari/kuku udara didalamnya sampai tidak ada udara didalam perekatnya.. cooger emang sesuai sama slogannya. rekomended jelas.",Happy,Love,1.2173490524291992,12.926677703857422,0.0,1947,7
"sesuai dengan pesanan, bahan halus, kayaknya adem...",Happy,Happy,1.229006290435791,12.894828796386719,0.0,1724,7
"sudah terima packingnya rapi, bahannya lembut, enak dipake, kurir yg selalu ramah, mkshPotongannya rapi.",Happy,Happy,0.7866737842559814,12.935222625732422,0.0,1743,7
Barang Sesuai Deskripsi. Produk Original. Packaging Bagus.,Happy,Happy,0.7500991821289062,12.92129898071289,0.0,1723,7
"mantap, bagus dan teba",Happy,Happy,0.700380802154541,12.89938735961914,0.0,1717,7
Sesuai deskripsi dan pesanan. Terimakasih,Happy,Happy,1.2883541584014893,12.905269622802734,0.0,1723,7
"Produk Sesuai. Material Produk Bagus. Cocok untuk di jadikan tmpt penyimpanan masker.. Jadi lbh rapi dan enak di lihat, gampang untuk mengambil masker..",Happy,Happy,0.7121496200561523,12.968513488769531,0.0,1749,7
"wae keren. alatnya berasa jadi pengrajin rokok. matap seler ramah pros�s cepat , pengiriman juga cepat.",Happy,Happy,0.7386922836303711,12.996139526367188,0.0,1739,7
Bagus dan ini order saya yang kedua.,Happy,Happy,0.7020509243011475,12.974273681640625,0.0,1718,7
Teksturnya creamy. Gampang dipakai. Packaging aman ??.,Happy,Happy,1.139214277267456,12.994945526123047,0.0,1724,7
