text,actual,predicted,latency_sec,ram_gb,vram_gb
buahnya bagus... kurirnya ok sellernya juga ok,Happy,Happy,31.331984043121338,13.395347595214844,3.55291748046875
"Ada sedikit cacat, selainnya oke",Happy,Sadness,6.505589962005615,13.355522155761719,3.55291748046875
Jadi semangat mancing.,Happy,Happy,6.181719064712524,13.381340026855469,3.55291748046875
Cepat tiba n kemasan bagus. barangnya juga bagus,Happy,Happy,6.309939861297607,13.390190124511719,3.55291748046875
Produk sesuai deskripsi??. Variasi produk beragam. Berfungsi dengan baik.,Happy,Happy,6.293741464614868,13.371284484863281,3.55291748046875
pelayanan memuaskan dan barang sesuai ??,Happy,Happy,6.2084221839904785,13.376949310302734,3.55291748046875
"Barang bagus dan cepat sekali sampainya ke cianjur, hanya 2 hari.Best seller",Happy,Happy,6.480554819107056,13.373653411865234,3.55291748046875
Bagus mantab jernih,Happy,Happy,6.150408744812012,13.355228424072266,3.55291748046875
"trmksh barang sesuai pesanan, fungsi normal... tingkatkan terus pelayanan...",Happy,Happy,6.327725172042847,13.36855697631836,3.55291748046875
"Green screen sudah nyampe, bahan cukup tebal, mirip ntah sama dengan Positiveie bag yg bagus, warna hijau cerah, oke lah buat green screen",Happy,Happy,6.858265399932861,13.360099792480469,3.55291748046875
"lumayan lah, buat pemanasan",Happy,Happy,6.1414570808410645,13.276504516601562,3.55291748046875
"paking rapih, kondisi barang datang mantap. kualitas sesuai harga.. joss",Happy,Happy,6.281788349151611,13.277992248535156,3.55291748046875
"produk asli original. suplemen bagus tanpa efek samping, semoga segera berproses utk menambah pigmen rambut. tks",Happy,Happy,6.452170133590698,13.307586669921875,3.55291748046875
barang bagus dan layanan bagus,Happy,Happy,6.180801630020142,13.243522644042969,3.55291748046875
"untuk harga sgitu bolehlah, dan penjual juga menjelaskan cara pakai dengan jelas dan teliti",Happy,Happy,6.392806529998779,13.179405212402344,3.55291748046875
"Cepet nyampe, seller oke",Happy,Happy,6.131070375442505,13.181049346923828,3.55291748046875
barang sdh nyampe dgn baik. senang banget terima paketnya. semoga sapunya awet. terima kasih. bersih bersih rumah. bersih rapi. bebas debu.,Happy,Happy,6.96134614944458,13.17913818359375,3.55291748046875
"Kainnya gk tipis, standar tebal batik biasa, adem , lembut, variant yg dikirim penjual , sesuai.",Happy,Happy,6.422925233840942,13.070026397705078,3.55291748046875
"Barusan saya tes untuk ambil sampah di sungai dekat rumah, untuk kekuatan daya cekram si alatnya masuk akal untuk harga segini. untuk ambil plastik mudah, tapi untuk ambil sampah kain atau sampah yg udah kekubur agak sulit karena kurang kuat cekramannya",Happy,Sadness,7.369849443435669,13.085922241210938,3.55291748046875
"alhamdulillah, produk ini sangat membantu. yang biasanya membersihkan wc pakai sikat, berisik, kerak tertinggal pada sikat, kelihatan kotor. sekarang tergantikan dengan cooger sikat toilet ini. bahan karetnya membantu saya membersihkan wc disegala waktu, tidak lagi membangunkan anak saya yang masih bayi karena berisik bunyi sikat saat membersihkan toilet / ember mandi. bahkan bisa membersihkan disela-sela bagian dalam dudukan wc (yang tidak bisa dijangkau sikat toilet konvensional). sedikit tips untuk menempelkan ke dinding keramik kamar mandi. setelah dibersihkan dengan lap kering/tisu kering, bisa ditambahkan hair dryer/korek api dibagian yang akan ditempel perekatnya. cara menempelkannya seperti memasang pelindung kaca layar hp. dikeluarkan bagian udara didalamnya dengan cara menempelkan bagian atas/bagian bawah (tergantung mana duluan). gosok2 pakai jari/kuku udara didalamnya sampai tidak ada udara didalam perekatnya.. cooger emang sesuai sama slogannya. rekomended jelas.",Happy,Love,10.605229616165161,13.120601654052734,3.55291748046875
"sesuai dengan pesanan, bahan halus, kayaknya adem...",Happy,Happy,6.2086710929870605,13.087718963623047,3.55291748046875
"sudah terima packingnya rapi, bahannya lembut, enak dipake, kurir yg selalu ramah, mkshPotongannya rapi.",Happy,Happy,6.834744930267334,13.0574951171875,3.55291748046875
Barang Sesuai Deskripsi. Produk Original. Packaging Bagus.,Happy,Happy,6.198628187179565,13.058555603027344,3.55291748046875
"mantap, bagus dan teba",Happy,Happy,6.092229127883911,13.104751586914062,3.55291748046875
Sesuai deskripsi dan pesanan. Terimakasih,Happy,Happy,6.325145244598389,13.29837417602539,3.55291748046875
"Produk Sesuai. Material Produk Bagus. Cocok untuk di jadikan tmpt penyimpanan masker.. Jadi lbh rapi dan enak di lihat, gampang untuk mengambil masker..",Happy,Happy,7.004272222518921,13.266979217529297,3.55291748046875
"wae keren. alatnya berasa jadi pengrajin rokok. matap seler ramah pros�s cepat , pengiriman juga cepat.",Happy,Happy,6.959047555923462,13.249858856201172,3.55291748046875
Bagus dan ini order saya yang kedua.,Happy,Happy,6.242203235626221,13.279987335205078,3.55291748046875
Teksturnya creamy. Gampang dipakai. Packaging aman ??.,Happy,Happy,6.274193286895752,13.25693130493164,3.55291748046875
"masker bagus,sesuai harga`",Happy,Happy,6.202343940734863,13.213836669921875,3.55291748046875
bagus banget bahan nya juga adem ini bakal jadi langganan saya order baju tidur untuk suami ????,Happy,Love,6.359492301940918,13.169036865234375,3.55291748046875
respon baik mutu lumayan hrg terjangkau,Happy,Happy,6.192118883132935,13.164352416992188,3.55291748046875
Kualitas Produk Bagus. Produk Sesuai,Happy,Happy,6.192148685455322,13.196842193603516,3.55291748046875
"Bahan bagus, kain bisa melebar dan elastis",Happy,Happy,6.169054269790649,13.202972412109375,3.55291748046875
"Cepat, rapih dan aman. Saya mau beli lagi nanti ya",Happy,Happy,6.249863862991333,13.180233001708984,3.55291748046875
