text,actual,predicted,latency_sec,ram_gb,vram_gb,prompt_tokens,completion_tokens
buahnya bagus... kurirnya ok sellernya juga ok,Happy,Happy,3.005598783493042,12.402267456054688,0.0,507,7
"Ada sedikit cacat, selainnya oke",Happy,Sadness,5.173867464065552,12.163894653320312,0.0,503,8
Jadi semangat mancing.,Happy,Happy,3.2128210067749023,12.153079986572266,0.0,499,7
Cepat tiba n kemasan bagus. barangnya juga bagus,Happy,Happy,3.1662375926971436,12.217353820800781,0.0,507,7
Produk sesuai deskripsi??. Variasi produk beragam. Berfungsi dengan baik.,Happy,Happy,4.622539758682251,12.344680786132812,0.0,511,7
pelayanan memuaskan dan barang sesuai ??,Happy,Happy,4.2100019454956055,12.170726776123047,0.0,504,7
"Barang bagus dan cepat sekali sampainya ke cianjur, hanya 2 hari.Best seller",Happy,Happy,3.6675360202789307,12.071823120117188,0.0,515,7
Bagus mantab jernih,Happy,Happy,2.5222113132476807,12.295707702636719,0.0,502,7
"trmksh barang sesuai pesanan, fungsi normal... tingkatkan terus pelayanan...",Happy,Happy,3.4830634593963623,12.280529022216797,0.0,510,7
"Green screen sudah nyampe, bahan cukup tebal, mirip ntah sama dengan Positiveie bag yg bagus, warna hijau cerah, oke lah buat green screen",Happy,Happy,3.480583429336548,12.143016815185547,0.0,527,7
"lumayan lah, buat pemanasan",Happy,Happy,4.504746913909912,12.12259292602539,0.0,503,7
"paking rapih, kondisi barang datang mantap. kualitas sesuai harga.. joss",Happy,Happy,2.984652280807495,12.108314514160156,0.0,513,7
"produk asli original. suplemen bagus tanpa efek samping, semoga segera berproses utk menambah pigmen rambut. tks",Happy,Happy,2.5552163124084473,12.054546356201172,0.0,519,7
barang bagus dan layanan bagus,Happy,Happy,2.8936922550201416,12.018375396728516,0.0,500,7
"untuk harga sgitu bolehlah, dan penjual juga menjelaskan cara pakai dengan jelas dan teliti",Happy,Happy,2.7489991188049316,11.98773193359375,0.0,515,7
"Cepet nyampe, seller oke",Happy,Happy,2.6835696697235107,11.998687744140625,0.0,502,7
barang sdh nyampe dgn baik. senang banget terima paketnya. semoga sapunya awet. terima kasih. bersih bersih rumah. bersih rapi. bebas debu.,Happy,Happy,3.0227930545806885,12.014938354492188,0.0,529,7
"Kainnya gk tipis, standar tebal batik biasa, adem , lembut, variant yg dikirim penjual , sesuai.",Happy,Happy,2.763314723968506,12.016304016113281,0.0,521,7
"Barusan saya tes untuk ambil sampah di sungai dekat rumah, untuk kekuatan daya cekram si alatnya masuk akal untuk harga segini. untuk ambil plastik mudah, tapi untuk ambil sampah kain atau sampah yg udah kekubur agak sulit karena kurang kuat cekramannya",Happy,Sadness,4.07905387878418,11.890731811523438,0.0,548,8
"alhamdulillah, produk ini sangat membantu. yang biasanya membersihkan wc pakai sikat, berisik, kerak tertinggal pada sikat, kelihatan kotor. sekarang tergantikan dengan cooger sikat toilet ini. bahan karetnya membantu saya membersihkan wc disegala waktu, tidak lagi membangunkan anak saya yang masih bayi karena berisik bunyi sikat saat membersihkan toilet / ember mandi. bahkan bisa membersihkan disela-sela bagian dalam dudukan wc (yang tidak bisa dijangkau sikat toilet konvensional). sedikit tips untuk menempelkan ke dinding keramik kamar mandi. setelah dibersihkan dengan lap kering/tisu kering, bisa ditambahkan hair dryer/korek api dibagian yang akan ditempel perekatnya. cara menempelkannya seperti memasang pelindung kaca layar hp. dikeluarkan bagian udara didalamnya dengan cara menempelkan bagian atas/bagian bawah (tergantung mana duluan). gosok2 pakai jari/kuku udara didalamnya sampai tidak ada udara didalam perekatnya.. cooger emang sesuai sama slogannya. rekomended jelas.",Happy,Love,9.305260419845581,11.881084442138672,0.0,720,7
"sesuai dengan pesanan, bahan halus, kayaknya adem...",Happy,Happy,3.5161497592926025,11.899185180664062,0.0,509,7
"sudah terima packingnya rapi, bahannya lembut, enak dipake, kurir yg selalu ramah, mkshPotongannya rapi.",Happy,Happy,4.2901153564453125,11.878471374511719,0.0,525,7
Barang Sesuai Deskripsi. Produk Original. Packaging Bagus.,Happy,Happy,2.6666388511657715,11.83108139038086,0.0,509,7
"mantap, bagus dan teba",Happy,Happy,3.015559673309326,11.824295043945312,0.0,502,7
Sesuai deskripsi dan pesanan. Terimakasih,Happy,Happy,2.7519211769104004,11.805316925048828,0.0,508,7
"Produk Sesuai. Material Produk Bagus. Cocok untuk di jadikan tmpt penyimpanan masker.. Jadi lbh rapi dan enak di lihat, gampang untuk mengambil masker..",Happy,Happy,3.4822492599487305,11.849143981933594,0.0,532,7
"wae keren. alatnya berasa jadi pengrajin rokok. matap seler ramah pros�s cepat , pengiriman juga cepat.",Happy,Happy,3.0828335285186768,11.831920623779297,0.0,525,7
Bagus dan ini order saya yang kedua.,Happy,Love,5.46208643913269,11.454971313476562,0.0,503,7
Teksturnya creamy. Gampang dipakai. Packaging aman ??.,Happy,Happy,4.299722194671631,11.52181625366211,0.0,507,7
"masker bagus,sesuai harga`",Happy,Happy,2.534810781478882,11.521343231201172,0.0,504,7
warnanya ga sesuai photo di deskripsi warna sepatu di deskripsi aga' crem yang dateng abu2x gelap,Sadness,Sadness,5.566469192504883,11.52389907836914,0.0,518,8
Ada 1 shade yg salah kirim,Sadness,Sadness,2.5234477519989014,11.507461547851562,0.0,503,8
barang biasa aja ...bahan kurang bgitu bagus,Sadness,Sadness,3.862027645111084,11.467315673828125,0.0,504,8
Jahitannya berantakan banget. gak kenceng aku benyeng dikit udah pada copot jahitannya...sedih,Sadness,Sadness,4.598603010177612,11.478862762451172,0.0,523,8
"bahan ny sih bagus, cm sayang pesen nya 2 datang ny 1. d chat ke seller ny jg d d baca, boro-boro ada penjelasan. seller g asiiiik g bs d ajak komunikasi",Sadness,Anger,7.179569482803345,11.469856262207031,0.0,541,8
"Packingnya cm kresek krg aman, jd pas dateng peot pdhl buat d jual, haduhh..",Sadness,Sadness,4.1633384227752686,11.51785659790039,0.0,519,8
"Kecewa dengan waktu pengiriman. Order jam 11.52 sengaja pilih sameday biar hari itu juga sampainya karena butuh cepat gendongan ini. Malah dikirim hari berikutnya. Kalau tidak bisa kirim di hari yang sama, tidak perlu diaktifkan pilihan kurir samedaynya. Atau infokan, untuk sameday itu maksimal order jam berapa baru bisa dikirim di hari yang sama.",Sadness,Sadness,3.717282772064209,11.496028900146484,0.0,579,8
"Dlm ordernya sdh sy tambah 'bubble wrap' (+ rp 10.000), tp dikirimnya tanpa bubble. Lagian ordernya pagi2 n minta spy dikirimnya lbh cepat (instant), ternyata tibanya jam 16an",Sadness,Anger,4.518433094024658,11.45907974243164,0.0,550,8
"bungkusan barang robek, ada bagian kertas yg sudah kuning menandakan barang sudah lama terbuka. sangat mengecewakan",Sadness,Sadness,2.678576946258545,11.443656921386719,0.0,520,8
balonnya kecil sekali ga sesuai gambar..ga bagus kualitas..ketipu dr gambar nya..kecewa,Sadness,Sadness,3.033099889755249,11.448566436767578,0.0,517,8
Batre tidak sesuai ukuran dan tidak ada nano receiver.,Sadness,Sadness,2.713127374649048,11.447566986083984,0.0,505,8
"overpriced.. analisanya kurang dalam. kualitas hard cover kurang bagus, .masa begitu sampe lgsg penyok",Sadness,Anger,3.7012476921081543,11.440048217773438,0.0,518,8
boros batre,Sadness,Anger,5.682123899459839,11.450790405273438,0.0,499,8
yg micro ini sering rusak coba di tingkatkn lg kualitasnya,Sadness,Sadness,3.9180476665496826,11.450492858886719,0.0,507,8
sambungannya tidak rapih..,Sadness,Sadness,2.391301155090332,11.507816314697266,0.0,501,8
"Barang sampai dengan selamat, mic berfungsi tapi emang kualitasnya tidak sampai bisa meredam suara di sekitar",Sadness,Sadness,3.219876527786255,11.510421752929688,0.0,517,8
kurang bagus,Sadness,Sadness,2.267580986022949,11.601634979248047,0.0,498,8
model lumayan kren tapi kecewa di batre senternya hnya bertahan skitar 3 jam aja.,Sadness,Sadness,3.5114104747772217,12.05526351928711,0.0,517,8
tidak berfugsi,Sadness,Sadness,3.164339780807495,12.001739501953125,0.0,499,8
Baru seminggu pemakaian sudah tidak bisa nyala sebelah,Sadness,Sadness,4.0274481773376465,11.541744232177734,0.0,508,8
