title,label_score,prediksi,probabilitas
gunung sampah di cilebut bogor bikin sungai ciliwung tercemar,0,Bukan Clickbait,0.049427833
tulis orang orang biasa andrea hirata perjuangkan pendidikan untuk kaum tak mampu,0,Clickbait,0.82735795
43 penerbangan terganggu asap ratusan penumpang tujuan kalimantan telantar,0,Bukan Clickbait,0.0051092817
bicara soal gading marten gisella anastasia menahan tangis,1,Clickbait,0.97649825
pelatih leicester tatap laga kontra man united dengan kepercayaan diri tinggi,0,Bukan Clickbait,0.03023321
terdampak tol desari jalan tanah baru depok akan diperlebar tahun ini,0,Bukan Clickbait,0.026182784
polemik pb djarum vs kpai yang berujung stop audisi,1,Bukan Clickbait,0.053676367
laode ungkap banyak karyawan kpk menangis pasca revisi uu disahkan,0,Bukan Clickbait,0.00680138
permintaan terakhir bocah yang dibully hingga tewas fatir ahmad sebut nama seseorang agar ditangkap,1,Clickbait,0.95163023
habibie wafat r80 diusulkan jadi proyek strategis nasional,0,Bukan Clickbait,0.002709282
walhi minta restorasi gambut dievaluasi,0,Bukan Clickbait,0.0025137963
soal perburuan scudetto llorente tekanan ada pada juventus,0,Bukan Clickbait,0.33895317
ada petisi ganti nama bijb dengan bj habibie ridwan kamil beri dukungan,0,Clickbait,0.8228546
anggaran bansos naik warga tak hanya dapat beras dan telur,0,Bukan Clickbait,0.011681499
inggris mengaku tak tahu dalang serangan kilang minyak saudi,0,Bukan Clickbait,0.010348409
ingin jadi digital marketing sukses pastikan punya sifat ini,1,Clickbait,0.9978345
jelang pernikahan hailey baldwin dapat pesta bachelorette yang seru dan nakal,1,Clickbait,0.844542
barbie kumalasari bocorkan honor sekali tampil di tv tembus dua digit,1,Clickbait,0.9542572
tak malu jadi sugar baby jeane ajak sesama wanita untuk ikuti caranya cari uang mau,1,Clickbait,0.997872
ramal banyak artis narkoba hingga cerai tahun ini roy kiyoshi orangnya gak disangka sangka,1,Clickbait,0.9979241
selotip mulut jurnalis kbb cimahi tolak kekerasan dan rkuhp,0,Bukan Clickbait,0.008653773
penentu kemenangan man united mason greenwood dipuji solskajer,0,Bukan Clickbait,0.09939713
tumbuh 10 cm tanduk setan di kepala pria india dioperasi,1,Bukan Clickbait,0.281317
foto jihyo twice sering datangi rumah kang daniel sudah 7 bulan pacaran,1,Clickbait,0.9978928
akibat kabut asap citilink gagal mendarat di aek godang,0,Bukan Clickbait,0.013360453
si bodat ini serahkan perawan pacar buat teman setelah itu digilir,1,Clickbait,0.99797326
40 persen dewan ciamis gadaikan sk ketua daripada mencuri uang negara,0,Bukan Clickbait,0.019854872
kpu ajukan rp 17 m untuk pilwakot solo 2020,0,Bukan Clickbait,0.0023501955
sinopsis drama still 17 episode 25 titik cerah pencarian shin hye sun,0,Bukan Clickbait,0.0026552305
hindari konsumsi madu pada bayi ini alasannya,1,Clickbait,0.9978947
tampil cantik saat kondangan ini 4 inspirasi dress untuk hijabers,1,Clickbait,0.9977831
data pelanggan lion air bocor menkominfo sebut bukti urgensi ruu pdp,0,Bukan Clickbait,0.06915494
bwa targetkan 1 juta wakaf alquran,0,Bukan Clickbait,0.0037703558
densus 88 polri gerebek rumah terduga teroris di cilincing jakut,0,Bukan Clickbait,0.0023484665
ojk hentikan sementara pendaftaran investasi reksa dana tunggal,0,Bukan Clickbait,0.0073927795
3 fakta raymond hartanto adik boy william yang meninggal dunia,1,Clickbait,0.99791294
emil akan lelang jabatan sekda buka peluang non asn,0,Bukan Clickbait,0.035963584
tips bagi yang berniat memelihara vw kodok,1,Clickbait,0.9979086
bi dorong indonesia jadi pemain utama di industri halal dunia,0,Bukan Clickbait,0.4267964
revisi buku pendidikan bpip akan diskusi dengan sejarawan,0,Bukan Clickbait,0.004091381
dompet dhuafa kirim tim jaga kebersihan rumah alm habibie,0,Bukan Clickbait,0.0040734154
bayi meninggal diduga terkena ispa gubernur sumsel sarankan autopsi,0,Bukan Clickbait,0.03252514
per senin polisi tetapkan 189 tersangka karhutla di sumatera dan kalimantan,0,Bukan Clickbait,0.0026561222
bts kejutkan fans dengan bikin akun tiktok intip dua video postingannya,1,Clickbait,0.9978465
pembayaran klaim asuransi meningkat 8 21 persen,0,Bukan Clickbait,0.0024629296
sempat dicap artis sensasi bella shofie akui cinta tugas barunya kerja pakai hati,1,Clickbait,0.93975866
titik api kembali muncul di hutan lereng gunung slamet,0,Bukan Clickbait,0.09433714
menteri lhk minta malaysia objektif soal kabut asap,0,Bukan Clickbait,0.0026222016
unggah video ahmad dhani bersama anak mulan jameela kangen,1,Clickbait,0.9964065
ketika teroris serang kilang minyak saudi aramco pakai drone,1,Bukan Clickbait,0.05359247
revisi uu kpk mahfud md saatnya jokowi undang pimpinan kpk,0,Bukan Clickbait,0.07001902
wwf samakan kebakaran hutan di indonesia dengan amazon,0,Bukan Clickbait,0.0064992737
kasus kepemilikan senjata api kivlan zen jalani sidang hari ini,0,Bukan Clickbait,0.00501162
apple umumkan ipad anyar 10 2 inci harganya,1,Bukan Clickbait,0.1068165
video viral pengobatan bude ningsih tinampi sudah ditonton 10 juta kali,1,Clickbait,0.9979119
lepas kepergian habibie warga padati tmp kalibata,0,Bukan Clickbait,0.005364848
