title,label_score,prediksi,probabilitas
gunung sampah di cilebut bogor bikin sungai ciliwung tercemar,0,Bukan Clickbait,0.0030303148
tulis orang orang biasa andrea hirata perjuangkan pendidikan untuk kaum tak mampu,0,Bukan Clickbait,0.029537829
43 penerbangan terganggu asap ratusan penumpang tujuan kalimantan telantar,0,Bukan Clickbait,0.010135295
bicara soal gading marten gisella anastasia menahan tangis,1,Clickbait,0.997106
pelatih leicester tatap laga kontra man united dengan kepercayaan diri tinggi,0,Bukan Clickbait,0.0013252621
terdampak tol desari jalan tanah baru depok akan diperlebar tahun ini,0,Bukan Clickbait,0.029289732
polemik pb djarum vs kpai yang berujung stop audisi,1,Bukan Clickbait,0.0015995274
laode ungkap banyak karyawan kpk menangis pasca revisi uu disahkan,0,Clickbait,0.9453357
permintaan terakhir bocah yang dibully hingga tewas fatir ahmad sebut nama seseorang agar ditangkap,1,Clickbait,0.91306365
habibie wafat r80 diusulkan jadi proyek strategis nasional,0,Bukan Clickbait,0.0013003028
walhi minta restorasi gambut dievaluasi,0,Bukan Clickbait,0.0015239808
soal perburuan scudetto llorente tekanan ada pada juventus,0,Bukan Clickbait,0.00919286
ada petisi ganti nama bijb dengan bj habibie ridwan kamil beri dukungan,0,Bukan Clickbait,0.04961184
anggaran bansos naik warga tak hanya dapat beras dan telur,0,Bukan Clickbait,0.003294086
inggris mengaku tak tahu dalang serangan kilang minyak saudi,0,Bukan Clickbait,0.002439919
ingin jadi digital marketing sukses pastikan punya sifat ini,1,Clickbait,0.9988201
jelang pernikahan hailey baldwin dapat pesta bachelorette yang seru dan nakal,1,Clickbait,0.99534625
barbie kumalasari bocorkan honor sekali tampil di tv tembus dua digit,1,Clickbait,0.99512035
tak malu jadi sugar baby jeane ajak sesama wanita untuk ikuti caranya cari uang mau,1,Clickbait,0.99877006
ramal banyak artis narkoba hingga cerai tahun ini roy kiyoshi orangnya gak disangka sangka,1,Clickbait,0.99887687
selotip mulut jurnalis kbb cimahi tolak kekerasan dan rkuhp,0,Clickbait,0.99334854
penentu kemenangan man united mason greenwood dipuji solskajer,0,Bukan Clickbait,0.03494171
tumbuh 10 cm tanduk setan di kepala pria india dioperasi,1,Clickbait,0.7284742
foto jihyo twice sering datangi rumah kang daniel sudah 7 bulan pacaran,1,Clickbait,0.99862134
akibat kabut asap citilink gagal mendarat di aek godang,0,Bukan Clickbait,0.011489763
si bodat ini serahkan perawan pacar buat teman setelah itu digilir,1,Clickbait,0.99886084
40 persen dewan ciamis gadaikan sk ketua daripada mencuri uang negara,0,Bukan Clickbait,0.16806771
kpu ajukan rp 17 m untuk pilwakot solo 2020,0,Bukan Clickbait,0.002614875
sinopsis drama still 17 episode 25 titik cerah pencarian shin hye sun,0,Bukan Clickbait,0.001295636
hindari konsumsi madu pada bayi ini alasannya,1,Clickbait,0.99885297
tampil cantik saat kondangan ini 4 inspirasi dress untuk hijabers,1,Clickbait,0.99881244
data pelanggan lion air bocor menkominfo sebut bukti urgensi ruu pdp,0,Bukan Clickbait,0.01518586
bwa targetkan 1 juta wakaf alquran,0,Bukan Clickbait,0.0012262114
densus 88 polri gerebek rumah terduga teroris di cilincing jakut,0,Bukan Clickbait,0.0068285004
ojk hentikan sementara pendaftaran investasi reksa dana tunggal,0,Bukan Clickbait,0.002190434
3 fakta raymond hartanto adik boy william yang meninggal dunia,1,Clickbait,0.99873596
emil akan lelang jabatan sekda buka peluang non asn,0,Bukan Clickbait,0.0035229612
tips bagi yang berniat memelihara vw kodok,1,Clickbait,0.9961598
bi dorong indonesia jadi pemain utama di industri halal dunia,0,Bukan Clickbait,0.03957381
revisi buku pendidikan bpip akan diskusi dengan sejarawan,0,Bukan Clickbait,0.0016600608
dompet dhuafa kirim tim jaga kebersihan rumah alm habibie,0,Bukan Clickbait,0.0028982605
bayi meninggal diduga terkena ispa gubernur sumsel sarankan autopsi,0,Bukan Clickbait,0.017845128
per senin polisi tetapkan 189 tersangka karhutla di sumatera dan kalimantan,0,Bukan Clickbait,0.001435906
bts kejutkan fans dengan bikin akun tiktok intip dua video postingannya,1,Clickbait,0.99877363
pembayaran klaim asuransi meningkat 8 21 persen,0,Bukan Clickbait,0.0015949452
sempat dicap artis sensasi bella shofie akui cinta tugas barunya kerja pakai hati,1,Clickbait,0.99768066
titik api kembali muncul di hutan lereng gunung slamet,0,Bukan Clickbait,0.0031403988
menteri lhk minta malaysia objektif soal kabut asap,0,Bukan Clickbait,0.0013614524
unggah video ahmad dhani bersama anak mulan jameela kangen,1,Clickbait,0.9983277
ketika teroris serang kilang minyak saudi aramco pakai drone,1,Clickbait,0.8009911
revisi uu kpk mahfud md saatnya jokowi undang pimpinan kpk,0,Clickbait,0.98167074
wwf samakan kebakaran hutan di indonesia dengan amazon,0,Bukan Clickbait,0.0015948375
kasus kepemilikan senjata api kivlan zen jalani sidang hari ini,0,Bukan Clickbait,0.012212078
apple umumkan ipad anyar 10 2 inci harganya,1,Bukan Clickbait,0.0059880987
video viral pengobatan bude ningsih tinampi sudah ditonton 10 juta kali,1,Clickbait,0.9981212
lepas kepergian habibie warga padati tmp kalibata,0,Bukan Clickbait,0.016680596
miley cyrus diduga sindir mantan gara gara posting foto bareng anjing,1,Clickbait,0.99870145
kebakaran hutan bnpb hitung kerugian ekosistem hingga ekonomi,0,Bukan Clickbait,0.0014149297
menelisik mudahnya dapatkan racikan miras oplosan di tasik,0,Clickbait,0.9933925
gubernur kalbar penyumbang kabut asap terbesar dari lahan konsesi perusahaan,0,Bukan Clickbait,0.0014352908
anaknya menjadi korban rasisme ibu striker chelsea menangis,1,Clickbait,0.91011417
pkb pesimistis koalisi gemuk bisa dibentuk untuk lawan pks di pilkada depok,0,Bukan Clickbait,0.0019905479
bpjs kesehatan raih penghargaan revolusi mental awards 2019,0,Bukan Clickbait,0.0016356612
komisioner kpk mengapa pembahasan revisi uu kpk dikebut,1,Clickbait,0.99846673
pusdiklat ma gandeng lspr bangun profesi humas terpercaya,0,Bukan Clickbait,0.00350382
seksinya red velvet kompak pakai mini dress hingga busana monokrom,1,Clickbait,0.99810576
peringkat timnas futsal indonesia melejit,0,Bukan Clickbait,0.4567856
grup keuangan korsel guyur rp350 55 miliar ke indonesia,0,Bukan Clickbait,0.001643303
bus tabrak pemotor hingga meninggal di sragen,0,Bukan Clickbait,0.006765148
ihsg diprediksi 6 650 hingga akhir tahun,0,Bukan Clickbait,0.0020946844
ratusan mahasiswa surabaya dukung revisi uu kpk,0,Bukan Clickbait,0.0012260532
fakta unik member nct dream ada si perusak dan tukang tidur,1,Clickbait,0.9984906
ilmuwan mendeteksi suara lubang hitam sejalan teori einstein,0,Bukan Clickbait,0.06282341
digital inklusif lewat startup bisa atasi permasalahan ketimpangan ekonomi di jabar,0,Bukan Clickbait,0.00160214
penyakit ispa akibat kabut asap serang 16 000 warga kota jambi,0,Bukan Clickbait,0.005236645
furry setya ternyata sempat ditolak saat tembak dwinda ratna ini ucapan yang diterima mas pur,1,Clickbait,0.99661773
inikah sosok nissan x trail masa depan lebih kencang dari tesla,1,Clickbait,0.99588144
bocah tewas diduga dibuly sang ibu ungkap keinginan terakhir anaknya belum sempat dimainkan,1,Clickbait,0.9960226
prosinecki batalkan mundur dari timnas bosnia,0,Bukan Clickbait,0.040669665
binotto puji strategi ferrari di gp italia,0,Bukan Clickbait,0.007459425
superm pilih member paling seksi sampai terlucu baekhyun lagi lagi bikin ngakak,1,Clickbait,0.9988758
viral ayah marahi anaknya yang ikut demo tuai pro dan kontra,1,Clickbait,0.9986431
polda riau bongkar perdagangan manusia melalui medsos,0,Bukan Clickbait,0.0015193166
ruu pertanahan 2 kementerian belum sepakat pendaftaran tanah,0,Bukan Clickbait,0.0011763911
peringati tahun baru islam banyuwangi kembali gelar festival muharam,0,Bukan Clickbait,0.0025258174
cita citata ngamuk dicap artis sombong gara gara tolak foto bareng fans,1,Clickbait,0.99858814
klasemen liga italia pekan ketiga inter milan tak terbendung,0,Bukan Clickbait,0.0012870769
china open 2019 kevin marcus dan fajar rian ke perempat final,0,Bukan Clickbait,0.0013558064
tni au evakuasi 14 korban dan pengungsi pascarusuh di wamena,0,Bukan Clickbait,0.0012284542
sinopsis sinetron anak langit tayang selasa 8 mei 2019,0,Bukan Clickbait,0.0012904388
viral video xanana gusmao cium kening bj habibie begini kisahnya,1,Clickbait,0.9988815
kementan kawal penyaluran pupuk bersubsidi,0,Bukan Clickbait,0.0011975396
dugaan korupsi kpu rp 12t dilaporkan ke kpk begini rinciannya,1,Clickbait,0.9986222
daftar 23 pemain timnas u 16 untuk kualifikasi piala afc u 16,0,Bukan Clickbait,0.12076268
si cantik kartika berliana siap begadang kawal liga champions dan liga europa di vidio,1,Bukan Clickbait,0.07430005
direkam seorang buron pengedar narkoba video ini ungkap sebab kecelakaan innova vs bus mira,1,Clickbait,0.9988696
masyarakat peduli hukum gelar aksi dukung revisi uu kpk di depan istana,0,Bukan Clickbait,0.0015832968
begini kronologi pelemparan bus persib bandung,1,Clickbait,0.99867815
video adegan yang dihapus dari versi asli avengers endgame masih bikin nangis,1,Clickbait,0.99863917
iis dahlia kehilangan uang ratusan juta hamish daud bagikan foto ngemong zalina topik pagi,1,Clickbait,0.99863213
gempa m5 6 melanda melonguane sulut tidak berpotensi tsunami,0,Bukan Clickbait,0.004705122
mahasiswa umm kampanyekan diet plastik,0,Bukan Clickbait,0.008648968
nusuk banget protes mulu sudah ngapain aja kamu buat negara ini,1,Clickbait,0.9988739
kuliah di london el rumi sudah nyoblos duluan,1,Bukan Clickbait,0.016080247
