text,actual,predicted,latency_sec,ram_gb,vram_gb,prompt_tokens,completion_tokens
buahnya bagus... kurirnya ok sellernya juga ok,Happy,Happy,2.546233654022217,10.590255737304688,0.0,1998,7
"Ada sedikit cacat, selainnya oke",Happy,Happy,1.4158663749694824,10.612560272216797,0.0,1993,7
Jadi semangat mancing.,Happy,Happy,1.3588366508483887,10.573318481445312,0.0,1991,7
Cepat tiba n kemasan bagus. barangnya juga bagus,Happy,Happy,0.7035055160522461,10.577327728271484,0.0,1997,7
Produk sesuai deskripsi??. Variasi produk beragam. Berfungsi dengan baik.,Happy,Happy,0.8159868717193604,10.558097839355469,0.0,2001,7
pelayanan memuaskan dan barang sesuai ??,Happy,Love,1.2070229053497314,10.496776580810547,0.0,1994,7
"Barang bagus dan cepat sekali sampainya ke cianjur, hanya 2 hari.Best seller",Happy,Happy,0.6860036849975586,10.430625915527344,0.0,2004,7
Bagus mantab jernih,Happy,Happy,1.3455262184143066,10.420246124267578,0.0,1992,7
"trmksh barang sesuai pesanan, fungsi normal... tingkatkan terus pelayanan...",Happy,Happy,0.7331974506378174,10.463661193847656,0.0,2000,7
"Green screen sudah nyampe, bahan cukup tebal, mirip ntah sama dengan Positiveie bag yg bagus, warna hijau cerah, oke lah buat green screen",Happy,Happy,0.7238903045654297,10.438343048095703,0.0,2019,7
"lumayan lah, buat pemanasan",Happy,Sadness,2.130495548248291,10.432144165039062,0.0,1992,8
"paking rapih, kondisi barang datang mantap. kualitas sesuai harga.. joss",Happy,Happy,0.6762292385101318,10.432464599609375,0.0,2002,7
"produk asli original. suplemen bagus tanpa efek samping, semoga segera berproses utk menambah pigmen rambut. tks",Happy,Love,0.7346701622009277,10.440311431884766,0.0,2013,7
barang bagus dan layanan bagus,Happy,Happy,0.642160177230835,10.565349578857422,0.0,1990,7
"untuk harga sgitu bolehlah, dan penjual juga menjelaskan cara pakai dengan jelas dan teliti",Happy,Happy,0.6983327865600586,10.540878295898438,0.0,2007,7
"Cepet nyampe, seller oke",Happy,Happy,0.6069231033325195,10.404800415039062,0.0,1992,7
barang sdh nyampe dgn baik. senang banget terima paketnya. semoga sapunya awet. terima kasih. bersih bersih rumah. bersih rapi. bebas debu.,Happy,Happy,0.6006648540496826,10.403751373291016,0.0,2027,7
"Kainnya gk tipis, standar tebal batik biasa, adem , lembut, variant yg dikirim penjual , sesuai.",Happy,Happy,0.6968300342559814,10.38616943359375,0.0,2013,7
